SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME
20MICRONS,20250415,199.11,207.03,198.05,204.64,84307
21STCENMGM,20250415,73.06,73.06,71.05,73.06,2573
360ONE,20250415,900.0,950.0,895.0,938.7,2860927
3IINFOLTD,20250415,21.23,22.24,21.23,21.99,587928
3MINDIA,20250415,29665.0,30535.0,29185.0,30385.0,10539
3PLAND,20250415,41.58,42.61,40.75,41.99,7290
5PAISA,20250415,375.0,382.0,370.45,378.55,26399
63MOONS,20250415,721.1,745.4,717.7,745.4,228971
A2ZINFRA,20250415,14.15,14.89,13.86,14.69,239968
AAATECH,20250415,77.0,77.0,75.0,75.29,24317
AADHARHFC,20250415,471.95,472.4,463.6,467.7,481923
AAKASH,20250415,9.0,9.0,8.6,8.81,226700
AAREYDRUGS,20250415,50.7,52.83,50.7,52.6,92656
AARON,20250415,365.0,365.0,354.0,358.7,4943
AARTECH,20250415,55.99,57.08,55.13,57.08,25957
AARTIDRUGS,20250415,333.0,357.85,331.2,355.25,311504
AARTIIND,20250415,387.9,401.5,386.1,398.35,2101013
AARTIPHARM,20250415,703.4,723.85,686.0,713.45,536588
AARTISURF,20250415,439.45,451.5,437.0,447.25,7067
AARVEEDEN,20250415,138.05,145.0,137.0,140.43,14927
AARVI,20250415,102.0,103.01,99.49,101.09,15534
AAVAS,20250415,2026.8,2026.9,1976.7,2004.8,244805
ABAN,20250415,38.98,39.4,38.32,39.19,26590
ABB,20250415,5220.0,5288.5,5158.5,5246.5,334196
ABBOTINDIA,20250415,29645.0,31195.0,29580.0,30950.0,11843
ABCAPITAL,20250415,188.0,191.0,186.69,190.64,3226844
ABDL,20250415,321.35,331.25,287.55,309.3,6712121
ABFRL,20250415,258.95,264.5,255.8,263.65,1499585
ABGSEC,20250415,108.29,109.06,108.29,108.89,4856
ABIN-RE1,20250415,38.23,39.05,35.25,36.04,120130
ABINFRA,20250415,82.25,85.25,80.12,82.99,91971
ABMINTLLTD,20250415,44.25,51.84,44.25,49.76,1316
ABREL,20250415,1805.0,1880.0,1791.1,1857.2,210694
ABSLAMC,20250415,630.0,641.5,625.0,629.05,199529
ABSLBANETF,20250415,53.25,53.6,51.68,53.21,1492156
ABSLLIQUID,20250415,999.99,1000.01,999.99,1000.0,3528
ABSLNN50ET,20250415,66.0,66.0,63.94,65.83,14696
ABSLPSE,20250415,9.55,9.61,9.46,9.58,503519
ACC,20250415,2017.4,2052.2,2008.8,2046.9,240574
ACCELYA,20250415,1283.3,1308.0,1276.0,1302.3,6545
ACCURACY,20250415,8.06,8.37,6.9,8.03,242354
ACE,20250415,1260.0,1267.9,1243.0,1248.4,105281
ACEINTEG,20250415,23.39,27.0,23.39,25.56,45690
ACI,20250415,602.05,620.0,601.6,613.25,409747
ACL,20250415,54.36,56.48,54.36,55.38,13057
ACLGATI,20250415,56.8,57.25,56.0,56.91,209244
ACMESOLAR,20250415,201.0,213.49,199.45,206.67,1467544
ADANIENSOL,20250415,855.65,889.6,851.45,887.4,2537147
ADANIENT,20250415,2375.0,2440.0,2359.0,2418.2,1145125
ADANIGREEN,20250415,910.0,942.0,901.3,936.65,2944940
ADANIPORTS,20250415,1200.0,1225.9,1179.0,1210.8,3176522
ADANIPOWER,20250415,526.0,554.45,522.45,542.2,8055146
ADFFOODS,20250415,229.5,232.49,226.44,231.98,59153
ADL,20250415,88.23,92.4,86.01,87.11,3856
ADOR,20250415,882.0,885.9,870.3,881.85,6979
ADROITINFO,20250415,12.14,12.14,11.65,11.87,31011
ADSL,20250415,190.0,192.85,187.71,189.42,169659
ADVANIHOTR,20250415,60.5,61.4,60.01,60.7,31030
ADVENZYMES,20250415,280.0,290.0,280.0,288.55,79304
AEGISLOG,20250415,765.0,774.2,757.8,766.05,632036
AEROFLEX,20250415,170.28,173.99,168.89,173.03,559647
AETHER,20250415,834.6,838.7,827.0,829.65,23210
AFCONS,20250415,435.9,449.4,433.85,442.9,620267
AFFLE,20250415,1535.0,1551.8,1510.0,1541.4,175432
AFFORDABLE,20250415,388.0,405.9,387.6,390.4,18600
AFIL,20250415,86.0,90.7,85.5,88.65,1096363
AFSL,20250415,180.0,185.0,173.68,182.22,9400
AGARIND,20250415,994.05,1024.8,985.4,1015.2,21569
AGARWALEYE,20250415,418.9,420.45,409.0,410.4,295918
AGI,20250415,789.8,798.3,774.55,788.45,155868
AGIIL,20250415,805.0,818.95,770.0,789.45,155376
AGRITECH,20250415,140.5,143.87,135.91,140.44,12309
AGROPHOS,20250415,32.29,32.29,30.61,31.77,16489
AGSTRA,20250415,7.1,7.19,6.95,7.1,1548737
AHLADA,20250415,62.8,63.76,61.25,62.98,18286
AHLEAST,20250415,135.91,135.91,130.81,134.64,6275
AHLUCONT,20250415,927.6,927.6,890.0,905.95,322933
AIAENG,20250415,3223.0,3250.0,3150.0,3174.0,28600
AIIL,20250415,1640.0,1679.0,1626.7,1664.2,95444
AIRAN,20250415,27.51,28.13,27.17,27.79,133555
AIROLAM,20250415,94.14,96.1,92.44,95.65,1454
AJANTPHARM,20250415,2619.9,2650.2,2602.1,2623.2,77041
AJAXENGG,20250415,625.0,631.75,620.0,626.9,201464
