SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME
20MICRONS,20240228,149.15,150.7,143.5,145.35,71053
21STCENMGM,20240228,51.4,51.4,51.4,51.4,22578
360ONE,20240228,748.05,751.1,710.05,716.3,501982
3IINFOLTD,20240228,50.55,51.35,48.3,48.85,1280301
3MINDIA,20240228,31446.15,31446.15,30400.0,30669.45,3537
3PLAND,20240228,33.6,34.0,32.1,32.5,6281
5PAISA,20240228,563.0,565.45,550.5,558.85,78409
63MOONS,20240228,493.45,502.25,472.0,479.95,119285
A2ZINFRA,20240228,16.4,16.4,16.4,16.4,188486
AAATECH,20240228,104.85,108.1,98.25,98.9,63037
AAKASH,20240228,10.15,10.15,10.05,10.05,50756
AAREYDRUGS,20240228,46.85,47.65,45.2,45.5,27615
AARON,20240228,250.6,254.8,249.05,250.75,4125
AARTECH,20240228,163.25,163.25,157.3,163.25,34478
AARTIDRUGS,20240228,516.45,518.0,497.75,500.7,152465
AARTIIND,20240228,670.95,676.0,646.0,648.5,1059763
AARTIPHARM,20240228,506.55,509.55,492.0,493.55,157720
AARTISURF,20240228,685.05,712.9,665.1,673.4,96655
AARVEEDEN,20240228,32.2,32.2,30.7,31.1,55020
AARVI,20240228,138.4,139.85,135.2,137.0,9378
AAVAS,20240228,1488.4,1499.0,1464.7,1474.5,240082
ABAN,20240228,74.2,74.9,70.5,70.5,131005
ABB,20240228,5440.0,5552.0,5380.25,5428.6,785448
ABBOTINDIA,20240228,28650.75,29041.0,28464.9,28610.0,15458
ABCAPITAL,20240228,187.55,189.1,181.0,181.75,3720567
ABFRL,20240228,229.2,236.0,229.05,230.9,11867178
ABMINTLLTD,20240228,61.75,61.75,56.3,58.4,1528
ABSLAMC,20240228,527.95,536.0,514.0,519.85,405251
ABSLBANETF,20240228,47.2,47.2,46.22,46.22,185507
ABSLLIQUID,20240228,1000.0,1000.0,999.99,1000.0,3818
ABSLNN50ET,20240228,61.3,61.65,60.01,60.35,58916
ACC,20240228,2669.4,2683.35,2567.0,2573.25,374995
ACCELYA,20240228,1888.6,1907.1,1825.0,1841.15,36219
ACCURACY,20240228,12.5,12.5,12.5,12.5,33994
ACE,20240228,1257.9,1278.4,1202.35,1214.3,546336
ACEINTEG,20240228,38.0,38.45,37.65,37.9,1404
ACI,20240228,790.0,795.0,746.75,752.45,879366
ACL,20240228,106.8,108.4,101.05,102.0,3195943
ACLGATI,20240228,118.2,118.55,112.5,114.7,418144
ADANIENSOL,20240228,1129.95,1136.8,1068.65,1076.45,2098024
ADANIENT,20240228,3309.2,3318.8,3207.5,3219.0,1358879
ADANIGREEN,20240228,1989.8,1996.5,1891.0,1918.15,916806
ADANIPORTS,20240228,1334.5,1334.9,1295.15,1299.5,2121625
ADANIPOWER,20240228,564.15,566.5,547.7,549.6,975616
ADFFOODS,20240228,191.25,192.0,186.55,188.45,71377
ADL,20240228,87.7,89.9,87.05,87.5,418
ADORWELD,20240228,1442.0,1454.85,1420.0,1444.2,11628
ADROITINFO,20240228,18.5,18.5,17.95,17.95,152663
ADSL,20240228,159.95,161.7,151.25,153.5,298346
ADVANIHOTR,20240228,170.95,171.2,160.3,168.9,341930
ADVENZYMES,20240228,397.2,398.7,382.05,384.45,207212
AEGISCHEM,20240228,420.0,451.0,420.0,443.5,2074349
AEROFLEX,20240228,148.0,148.4,143.25,146.1,341526
AETHER,20240228,869.5,892.0,864.0,876.75,146561
AFFLE,20240228,1125.0,1142.0,1101.0,1104.45,145666
AGARIND,20240228,956.35,965.85,933.0,949.8,41105
AGI,20240228,847.0,848.55,805.0,818.4,223879
AGRITECH,20240228,193.1,197.45,187.0,188.8,5417
AGROPHOS,20240228,46.1,47.05,44.0,44.95,77757
AGSTRA,20240228,89.75,90.0,86.9,87.85,293341
AHL,20240228,340.65,343.2,320.2,325.25,106195
AHLADA,20240228,118.25,121.7,115.2,116.05,59321
AHLEAST,20240228,162.0,164.35,155.1,156.15,25810
AHLUCONT,20240228,1197.35,1213.0,1162.0,1172.8,92974
AIAENG,20240228,3800.0,3811.6,3690.0,3703.25,41007
AIRAN,20240228,28.1,29.0,27.05,27.4,154683
AIROLAM,20240228,180.0,182.75,175.1,176.9,24481
AJANTPHARM,20240228,2126.0,2129.55,2070.85,2085.15,44747
AJMERA,20240228,740.75,743.0,690.55,706.0,165739
AJOONI,20240228,6.55,6.6,6.2,6.2,531566
AKASH,20240228,37.45,37.45,35.05,35.25,25099
AKG,20240228,23.45,25.3,23.2,23.7,1654750
AKI,20240228,23.7,23.7,23.7,23.7,56533
AKSHAR,20240228,3.5,3.55,3.4,3.45,1447975
AKSHARCHEM,20240228,355.0,356.0,319.3,321.6,220766
AKSHOPTFBR,20240228,11.3,11.3,10.6,10.6,378277
AKZOINDIA,20240228,2657.4,2657.4,2560.4,2564.3,17136
ALANKIT,20240228,19.7,19.85,18.55,19.45,712697
ALBERTDAVD,20240228,1330.25,1330.45,1283.9,1286.95,8161
ALEMBICLTD,20240228,102.2,103.5,97.0,97.85,1196773
ALICON,20240228,935.0,962.45,908.2,916.3,17766
ALKALI,20240228,123.95,123.95,114.25,114.35,30996
ALKEM,20240228,5079.65,5079.8,4957.6,4990.25,175724
ALKYLAMINE,20240228,2157.0,2174.2,2133.0,2153.5,23153
ALLCARGO,20240228,83.2,84.3,79.5,80.2,2243896
ALLSEC,20240228,841.0,879.8,792.1,811.75,80572
ALMONDZ,20240228,115.0,115.95,107.6,110.2,36412
ALOKINDS,20240228,28.9,29.4,27.5,27.9,3646516
ALPA,20240228,101.5,102.0,97.3,97.7,113382
ALPHAETF,20240228,23.4,23.4,22.62,22.73,167243
ALPHAGEO,20240228,409.95,413.1,380.4,386.1,49626
ALPL30IETF,20240228,264.16,265.01,260.65,261.04,82682
ALPSINDUS,20240228,2.15,2.15,2.15,2.15,10518
AMBER,20240228,3750.0,3791.0,3627.0,3735.75,100730
AMBICAAGAR,20240228,34.45,34.45,32.5,32.6,36357
AMBIKCO,20240228,1686.95,1703.95,1645.05,1663.15,12089
AMBUJACEM,20240228,603.9,606.0,585.1,589.25,2831925
AMDIND,20240228,64.05,65.45,60.95,61.7,29273
AMIORG,20240228,1139.7,1143.45,1099.6,1127.55,149858
AMJLAND,20240228,39.1,39.85,37.5,37.85,69610
AMNPLST,20240228,180.3,182.45,171.0,171.9,11629
AMRUTANJAN,20240228,654.95,656.25,630.35,648.85,40267
ANANDRATHI,20240228,3690.0,3726.4,3632.85,3666.05,29212
ANANTRAJ,20240228,350.0,351.5,336.5,339.65,919908
ANDHRAPAP,20240228,534.3,538.7,520.9,524.5,81926
ANDHRSUGAR,20240228,112.8,113.5,108.55,109.3,412091
ANGELONE,20240228,2944.0,2945.0,2856.55,2867.2,223116
ANIKINDS,20240228,48.0,48.5,47.55,48.5,10344
ANKITMETAL,20240228,4.55,4.55,4.3,4.3,160749
ANMOL,20240228,57.9,57.95,55.7,56.1,486910
ANTGRAPHIC,20240228,1.6,1.6,1.5,1.6,1655347
ANUP,20240228,2785.0,2820.0,2737.1,2798.3,8161
ANURAS,20240228,955.0,957.4,945.0,954.25,78045
APARINDS,20240228,6250.0,6300.0,6010.9,6230.55,78979
APCL,20240228,214.6,215.0,202.6,205.5,44642
APCOTEXIND,20240228,468.85,469.9,460.2,461.95,22319
APEX,20240228,222.45,226.2,214.35,216.2,139262
APLAPOLLO,20240228,1485.9,1485.95,1443.05,1462.8,826848
APLLTD,20240228,1050.3,1055.45,1014.05,1028.7,81705
APOLLO,20240228,137.0,139.9,134.0,134.0,992746
APOLLOHOSP,20240228,6630.0,6630.0,6345.3,6362.35,536602
APOLLOPIPE,20240228,732.35,738.5,712.35,718.15,41266
APOLLOTYRE,20240228,518.4,522.1,505.65,507.5,1012079
APOLSINHOT,20240228,2050.2,2100.0,2018.6,2030.65,3077
APTECHT,20240228,243.0,250.0,237.45,238.8,262091
APTUS,20240228,336.85,339.0,327.9,329.6,163726
ARCHIDPLY,20240228,93.35,94.5,89.35,90.3,42740
ARCHIES,20240228,37.4,37.55,35.5,36.0,151055
ARE&M,20240228,835.0,843.9,828.05,834.1,298031
ARENTERP,20240228,46.65,47.6,45.6,46.0,1968
ARIES,20240228,278.45,282.6,268.0,276.55,138138
ARIHANTCAP,20240228,67.5,68.9,66.05,66.65,346247
ARIHANTSUP,20240228,370.35,370.35,342.0,346.95,47523
ARMANFIN,20240228,2303.2,2310.85,2190.0,2200.4,18946
AROGRANITE,20240228,54.75,54.8,52.1,54.05,41497
ARROWGREEN,20240228,408.0,409.6,390.0,393.95,28105
ARSHIYA,20240228,9.3,9.6,9.3,9.6,5195839
ARTEMISMED,20240228,180.8,186.4,172.05,175.2,140895
