SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME
20MICRONS,20220428,86.1,86.3,82.4,83.0,100566
21STCENMGM,20220428,28.1,29.2,28.1,28.15,11184
3IINFOLTD,20220428,59.25,60.8,56.9,57.4,611014
3MINDIA,20220428,20090.0,20344.0,19900.0,20016.95,1111
3PLAND,20220428,16.2,17.4,16.15,16.45,7855
5PAISA,20220428,384.0,384.0,363.0,365.95,90550
63MOONS,20220428,232.55,232.55,232.55,232.55,16082
A2ZINFRA,20220428,14.1,14.5,13.6,13.65,563012
AAKASH,20220428,28.9,29.95,27.8,29.7,322773
AAREYDRUGS,20220428,43.4,43.5,42.95,43.15,10896
AARON,20220428,117.45,121.25,117.45,120.7,1861
AARTIDRUGS,20220428,471.0,474.2,448.0,463.7,112567
AARTIIND,20220428,883.45,888.0,872.0,885.4,496582
AARTISURF,20220428,811.0,824.6,800.0,803.1,10429
AARVEEDEN,20220428,27.5,27.8,26.9,27.5,8447
AARVI,20220428,119.95,119.95,113.15,113.45,11798
AAVAS,20220428,2304.6,2345.0,2290.0,2296.3,28265
ABAN,20220428,65.3,67.45,60.0,60.4,841016
ABB,20220428,2100.0,2110.0,2053.2,2097.85,115355
ABBOTINDIA,20220428,17518.3,17518.9,17128.1,17257.9,8023
ABCAPITAL,20220428,121.9,124.2,120.55,122.45,9000318
ABFRL,20220428,282.0,286.35,281.2,283.05,1791084
ABMINTLLTD,20220428,103.35,104.0,93.15,94.95,7198
ABSLAMC,20220428,532.0,532.45,525.5,529.3,215715
ABSLBANETF,20220428,35.52,36.25,35.52,36.2,3230
ABSLNN50ET,20220428,43.24,44.0,43.24,43.99,1746
ACC,20220428,2383.0,2387.15,2314.05,2376.75,995576
ACCELYA,20220428,972.85,987.2,961.4,973.7,29029
ACCURACY,20220428,212.05,222.9,208.15,214.25,10469
ACE,20220428,244.45,247.8,240.1,240.85,311708
ACRYSIL,20220428,790.5,790.5,759.9,763.75,45116
ADANIENT,20220428,2359.85,2389.9,2336.3,2378.55,1679893
ADANIGREEN,20220428,2897.8,2945.85,2832.2,2912.2,887135
ADANIPORTS,20220428,899.0,900.25,876.8,887.1,8778304
ADANIPOWER,20220428,305.2,312.0,284.25,284.25,48465993
ADANITRANS,20220428,2761.1,2834.8,2720.6,2796.65,476132
ADFFOODS,20220428,775.0,775.0,756.05,761.6,9104
ADL,20220428,51.9,53.0,51.3,51.5,2100
ADORWELD,20220428,683.0,685.25,668.0,675.15,11810
ADROITINFO,20220428,12.8,13.2,12.8,12.8,2178
ADSL,20220428,155.0,157.0,150.0,150.4,247545
ADVANIHOTR,20220428,85.2,87.25,80.0,83.55,63311
ADVENZYMES,20220428,305.9,307.5,303.0,304.5,76594
AEGISCHEM,20220428,223.15,230.9,218.1,229.05,1446730
AFFLE,20220428,1208.0,1230.0,1185.4,1225.15,196419
AGARIND,20220428,705.0,730.95,691.95,716.5,240056
AGRITECH,20220428,95.15,100.0,93.5,97.9,4966
AGROPHOS,20220428,53.2,57.0,52.9,57.0,672596
AGSTRA,20220428,121.1,125.35,115.85,117.1,492088
AHLADA,20220428,101.5,101.5,96.1,98.8,19403
AHLEAST,20220428,240.05,275.0,240.0,242.5,38204
AHLUCONT,20220428,517.0,523.0,510.65,517.45,21525
AIAENG,20220428,1909.0,1949.0,1887.15,1909.7,28105
AIRAN,20220428,21.45,21.75,20.6,20.8,245590
AIROLAM,20220428,72.6,76.7,68.0,70.5,21821
AJANTPHARM,20220428,1715.5,1749.0,1706.0,1739.15,103746
AJMERA,20220428,361.8,372.75,356.0,360.15,83417
AJOONI,20220428,70.45,71.05,68.35,69.65,75661
AJRINFRA,20220428,2.0,2.1,2.0,2.05,1138466
AKASH,20220428,50.95,50.95,50.95,50.95,56898
AKG,20220428,35.85,42.0,35.3,42.0,426388
AKSHARCHEM,20220428,391.0,391.0,372.05,377.05,7560
AKSHOPTFBR,20220428,12.55,12.55,11.95,12.05,337001
AKZOINDIA,20220428,1880.0,1897.75,1875.45,1883.05,3369
ALANKIT,20220428,14.0,14.45,13.9,14.3,369698
ALBERTDAVD,20220428,640.0,641.95,616.0,622.4,10131
ALEMBICLTD,20220428,80.15,80.6,78.2,78.9,156641
ALICON,20220428,655.0,717.55,646.0,685.65,31836
ALKALI,20220428,93.9,99.55,93.9,95.8,8237
ALKEM,20220428,3330.0,3330.0,3253.55,3299.85,53111
ALKYLAMINE,20220428,3148.2,3176.85,3126.3,3173.75,26034
ALLCARGO,20220428,357.05,365.0,353.6,361.5,226764
ALLSEC,20220428,509.35,514.0,501.2,506.95,7141
ALMONDZ,20220428,111.6,116.0,106.55,109.0,17803
ALOKINDS,20220428,28.85,29.25,25.7,25.9,70241784
ALPA,20220428,82.5,84.3,81.0,81.6,57432
ALPHAGEO,20220428,327.0,332.85,320.0,322.75,19378
AMARAJABAT,20220428,563.0,563.0,556.3,561.1,319064
AMBER,20220428,3600.0,3671.0,3441.8,3631.25,53615
AMBICAAGAR,20220428,27.8,28.25,27.0,27.0,21453
AMBIKCO,20220428,2198.25,2210.0,2151.0,2200.95,15865
AMBUJACEM,20220428,389.9,389.9,380.45,383.35,7163762
AMDIND,20220428,53.0,56.3,52.2,54.65,85750
AMIORG,20220428,1065.25,1142.9,1065.25,1127.45,827118
AMJLAND,20220428,28.45,29.3,28.35,28.95,34863
AMRUTANJAN,20220428,917.5,934.95,907.7,911.75,43194
ANANDRATHI,20220428,672.0,674.95,644.7,654.25,87992
ANANTRAJ,20220428,61.95,64.8,59.4,63.55,2685680
ANDHRACEMT,20220428,14.25,14.3,13.7,13.95,185559
ANDHRAPAP,20220428,354.0,354.0,331.0,332.6,36468
ANDHRSUGAR,20220428,165.4,167.5,162.05,164.4,332168
ANDREWYU,20220428,29.15,29.35,26.65,27.1,679135
ANGELONE,20220428,1854.0,1890.5,1828.15,1877.35,681522
ANIKINDS,20220428,35.7,37.2,34.55,37.2,653970
ANKITMETAL,20220428,8.0,8.2,7.75,7.8,208871
ANMOL,20220428,221.9,221.9,211.15,213.8,16111
ANSALAPI,20220428,22.15,22.15,20.9,20.9,278343
ANSALHSG,20220428,7.8,8.15,7.8,7.9,52715
ANTGRAPHIC,20220428,1.35,1.35,1.3,1.3,673809
ANUP,20220428,874.0,883.0,862.5,869.65,7889
ANURAS,20220428,842.0,850.0,833.05,846.4,42328
APARINDS,20220428,690.45,690.45,667.1,671.8,13484
APCL,20220428,277.4,281.95,275.55,278.55,10277
APCOTEXIND,20220428,548.0,559.95,511.55,534.65,416539
APEX,20220428,312.0,322.5,307.8,312.4,113539
APLAPOLLO,20220428,1034.4,1053.15,1000.0,1007.95,487898
APLLTD,20220428,789.95,792.9,782.4,785.05,316097
APOLLO,20220428,139.95,140.95,133.65,135.9,51804
APOLLOHOSP,20220428,4580.0,4603.0,4505.05,4537.85,552600
APOLLOPIPE,20220428,588.95,591.85,575.05,588.3,68838
APOLLOTYRE,20220428,213.9,214.0,206.25,207.0,5104715
APOLSINHOT,20220428,767.25,785.0,765.1,768.8,1633
APTECHT,20220428,331.9,334.9,325.0,326.8,70092
APTUS,20220428,339.45,339.45,334.0,335.25,43746
ARCHIDPLY,20220428,55.3,55.3,52.95,53.7,36785
ARCHIES,20220428,20.75,20.8,19.6,20.0,33910
ARENTERP,20220428,42.8,42.8,39.8,40.5,4838
ARIES,20220428,156.1,158.4,152.2,155.8,130296
ARIHANTCAP,20220428,82.1,87.4,82.1,86.5,118600
ARIHANTSUP,20220428,176.4,176.4,161.8,161.95,110781
ARMANFIN,20220428,1191.45,1229.95,1145.6,1155.4,12036
AROGRANITE,20220428,59.4,59.4,57.7,57.95,41608
ARROWGREEN,20220428,121.95,121.95,115.0,118.05,13121
ARSHIYA,20220428,28.7,29.35,26.8,27.3,556165
ARSSINFRA,20220428,29.45,30.45,28.55,28.75,20639
ARTEMISMED,20220428,45.0,45.5,44.35,45.1,116916
ARTNIRMAN,20220428,85.8,89.4,83.0,83.9,2296
ARVEE,20220428,113.9,113.95,108.35,110.25,1117
ARVIND,20220428,128.65,129.3,125.6,126.55,579942
ARVINDFASN,20220428,290.15,303.1,290.15,297.1,246984
ARVSMART,20220428,207.4,209.0,194.15,196.75,73638
ASAHIINDIA,20220428,446.85,456.0,441.95,446.35,76767
ASAHISONG,20220428,316.8,320.55,310.0,310.1,20324
ASAL,20220428,619.1,619.1,569.7,569.7,67438
ASALCBR,20220428,490.0,508.1,477.6,505.35,36730
ASHAPURMIN,20220428,139.05,141.05,135.0,135.95,208283
ASHIANA,20220428,146.75,150.0,146.45,149.0,37007
ASHIMASYN,20220428,14.5,14.95,14.1,14.2,61706
ASHOKA,20220428,88.6,88.6,86.9,87.1,444982
ASHOKLEY,20220428,128.0,129.1,127.4,128.6,6903389
ASIAN-RE1,20220428,4.5,6.35,4.05,6.25,1073413
ASIANENE,20220428,114.0,114.9,111.0,111.9,52153
ASIANHOTNR,20220428,85.3,86.35,82.55,83.2,24228
ASIANPAINT,20220428,3190.0,3268.0,3170.0,3247.7,2001838
ASIANTILES,20220428,71.9,74.4,71.5,73.55,1030386
ASPINWALL,20220428,189.4,189.4,183.0,184.85,1746
ASTEC,20220428,1825.0,1836.25,1801.05,1819.55,7197
ASTERDM,20220428,197.3,199.0,192.0,193.0,297855
ASTRAL,20220428,2159.8,2188.7,2135.3,2164.6,224529
ASTRAMICRO,20220428,262.9,264.8,255.1,257.1,437636
ASTRAZEN,20220428,2740.3,2772.0,2716.0,2730.15,3843
ASTRON,20220428,50.05,51.55,50.0,50.0,115876
ATFL,20220428,853.0,894.85,849.3,878.9,11436
ATGL,20220428,2553.0,2628.0,2532.1,2562.6,465693
ATLANTA,20220428,20.9,20.9,19.8,20.1,31648
ATUL,20220428,9019.8,9126.5,8697.0,8901.15,113411
ATULAUTO,20220428,192.3,192.4,186.0,187.55,81467
AUBANK,20220428,1390.0,1415.0,1368.55,1408.4,1577239
AURIONPRO,20220428,350.4,355.0,345.0,350.05,15752
AUROPHARMA,20220428,629.05,639.5,627.65,633.4,1148438
AURUM,20220428,104.95,104.95,99.75,100.25,124995
AURUM-RE,20220428,19.95,19.95,15.55,17.1,591527
AUSOMENT,20220428,85.9,87.45,83.55,84.1,5551
AUTOAXLES,20220428,1649.55,1651.95,1613.0,1620.0,4174
AUTOIND,20220428,67.0,67.0,63.55,65.45,44815
AVADHSUGAR,20220428,774.5,788.95,752.0,768.35,122423
AVANTIFEED,20220428,447.35,450.85,443.55,444.4,123738
AVROIND,20220428,92.25,96.5,90.3,91.75,22471
AVTNPL,20220428,122.75,123.0,118.0,119.3,128865
AWHCL,20220428,278.9,281.65,275.0,276.95,57716
AWL,20220428,860.0,878.0,798.95,798.95,29004435
AXISBANK,20220428,776.9,785.45,766.35,779.8,11037317
AXISBNKETF,20220428,360.31,366.96,359.68,363.24,348
AXISBPSETF,20220428,10.48,10.48,10.45,10.46,1920360
AXISCADES,20220428,176.2,176.2,160.0,169.05,592197
AXISCETF,20220428,69.22,72.23,69.22,71.12,7457
AXISGOLD,20220428,44.45,44.49,44.05,44.28,63295
AXISHCETF,20220428,84.99,84.99,83.7,84.1,2629
AXISNIFTY,20220428,179.5,182.22,179.5,180.86,3570
AXISTECETF,20220428,325.98,330.0,320.0,327.54,1074
AYMSYNTEX,20220428,126.9,135.5,124.9,134.3,91314
BAFNAPH,20220428,132.5,138.5,132.05,135.95,5180
BAGFILMS,20220428,7.55,8.25,7.55,8.25,1196664
BAJAJ-AUTO,20220428,4000.0,4000.0,3805.0,3834.4,1628318
BAJAJCON,20220428,170.7,171.4,167.8,168.2,212631
BAJAJELEC,20220428,1085.9,1109.5,1075.3,1099.95,52114
BAJAJFINSV,20220428,15000.0,15250.0,14660.65,15011.85,347500
BAJAJHCARE,20220428,345.1,348.0,337.0,343.2,46678
BAJAJHIND,20220428,18.75,19.25,18.05,18.05,23334674
BAJAJHLDNG,20220428,5435.0,5570.0,5385.7,5518.6,71126
BAJFINANCE,20220428,6748.0,6805.0,6580.0,6727.65,2499094
BALAJITELE,20220428,69.75,70.0,65.0,65.45,414861
BALAMINES,20220428,3243.1,3302.0,3210.0,3270.75,62818
BALAXI,20220428,479.5,485.0,455.1,464.8,7563
BALKRISHNA,20220428,48.6,48.6,46.7,47.95,4190
BALKRISIND,20220428,2222.6,2231.85,2130.2,2142.0,374264
BALLARPUR,20220428,1.65,1.75,1.65,1.75,4458571
BALMLAWRIE,20220428,123.1,124.55,121.25,121.8,144364
BALPHARMA,20220428,122.9,124.0,115.7,117.1,80385
BALRAMCHIN,20220428,464.0,466.75,450.15,459.9,2818150
BANARBEADS,20220428,97.9,101.4,92.75,93.4,43622
BANARISUG,20220428,2650.0,2719.9,2646.05,2672.75,1426
BANCOINDIA,20220428,143.2,143.85,140.0,140.7,41724
BANDHANBNK,20220428,338.4,338.95,332.0,336.35,5148484
BANG,20220428,61.8,62.9,54.65,55.6,95068
BANKA,20220428,85.75,87.8,78.35,81.7,23318
BANKBARODA,20220428,116.75,116.8,114.75,115.7,20065882
BANKBEES,20220428,365.4,367.69,362.13,366.76,478794
BANKINDIA,20220428,48.9,49.2,48.3,48.6,1590974
BANSWRAS,20220428,260.05,272.8,260.05,269.6,24000
BARBEQUE,20220428,1185.6,1273.9,1182.5,1263.3,413533
BARTRONICS,20220428,5.85,5.85,5.5,5.65,28591
BASF,20220428,2698.6,2698.6,2650.2,2667.8,8195
BASML,20220428,82.95,83.7,78.6,80.85,278243
BATAINDIA,20220428,1930.0,1945.45,1906.05,1936.7,197978
BAYERCROP,20220428,4716.15,4716.15,4665.0,4683.5,18933
BBETF0432,20220428,1004.0,1005.84,1003.01,1005.32,1668
BBL,20220428,1711.7,1769.95,1696.25,1714.5,6501
BBOX,20220428,813.5,813.95,792.0,796.4,6893
BBTC,20220428,1099.0,1117.0,991.25,1001.3,678810
BCG,20220428,78.7,80.0,76.0,80.0,2048017
BCIL-RE,20220428,521.1,550.0,521.1,549.9,807
BCLIND,20220428,480.0,488.0,471.05,473.4,21951
BCONCEPTS,20220428,113.7,113.7,111.0,113.7,13089
BCP,20220428,4.95,5.1,4.95,5.05,187050
BDL,20220428,767.0,775.0,730.1,740.9,1000499
BEARDSELL,20220428,16.7,17.1,16.5,16.65,25065
BECTORFOOD,20220428,310.0,311.0,305.0,305.65,106818
BEDMUTHA,20220428,88.0,91.7,86.05,87.85,31282
BEL,20220428,250.0,250.0,243.5,246.65,3085507
BEML,20220428,1689.0,1715.0,1638.05,1679.45,171310
BEPL,20220428,129.95,130.55,126.5,127.25,237772
BERGEPAINT,20220428,724.9,733.0,705.0,729.55,873811
BESTAGRO,20220428,904.0,913.05,894.75,903.75,34575
BFINVEST,20220428,324.4,324.4,305.0,306.25,31690
BFUTILITIE,20220428,406.7,408.0,386.0,388.4,408866
BGRENERGY,20220428,81.6,82.3,79.9,80.15,104098
BHAGCHEM,20220428,942.0,999.0,942.0,983.35,5535
BHAGERIA,20220428,252.35,259.55,251.05,255.95,19094
BHAGYANGR,20220428,49.3,49.65,47.65,47.95,27279
BHAGYAPROP,20220428,39.5,41.1,39.4,39.95,42527
BHANDARI,20220428,6.3,6.85,6.3,6.8,464562
BHARATFORG,20220428,725.0,725.0,706.9,720.65,876171
BHARATGEAR,20220428,153.15,155.95,150.3,151.15,22778
BHARATRAS,20220428,13885.0,14170.0,13763.45,13910.5,2241
BHARATWIRE,20220428,76.05,83.25,76.05,80.85,49691
BHARTIARTL,20220428,751.0,754.3,744.6,747.35,6101866
BHEL,20220428,53.0,54.15,52.2,53.8,24440581
BIGBLOC,20220428,149.1,151.3,138.8,138.8,241890
BIL,20220428,279.9,284.0,279.9,282.05,4163
BINDALAGRO,20220428,28.5,29.3,26.8,27.15,525736
BIOCON,20220428,385.0,385.0,375.25,376.75,1707353
BIOFILCHEM,20220428,62.35,64.4,62.35,62.7,20995
BIRLACABLE,20220428,140.0,142.6,135.05,137.4,107556
BIRLACORPN,20220428,1115.0,1129.25,1107.65,1111.9,70325
BIRLAMONEY,20220428,68.55,69.6,65.5,65.9,202860
BIRLATYRE,20220428,18.6,18.85,16.5,16.9,3275409
BKMINDST,20220428,2.3,2.35,2.15,2.35,121090
BLBLIMITED,20220428,25.7,28.15,25.7,28.15,61921
BLISSGVS,20220428,79.3,85.85,79.3,82.6,400272
BLKASHYAP,20220428,25.05,25.85,24.0,24.1,316246
BLS,20220428,340.0,370.0,338.15,368.5,3805892
BLUEDART,20220428,6737.75,6774.95,6621.6,6739.25,5168
BLUESTARCO,20220428,1139.35,1160.0,1131.05,1135.6,38493
BODALCHEM,20220428,110.15,111.4,105.5,108.85,319233
BOMDYEING,20220428,137.0,140.45,129.9,131.55,8474996
BOROLTD,20220428,358.9,358.9,348.0,349.1,58200
BORORENEW,20220428,725.9,731.95,685.55,696.05,1001073
BOSCHLTD,20220428,14386.7,14495.85,14325.0,14381.2,22006
BPCL,20220428,371.7,371.7,365.15,369.35,3286639
BPL,20220428,76.8,77.95,75.45,76.0,79891
BRFL,20220428,6.4,6.5,6.15,6.2,125991
BRIGADE,20220428,466.0,471.85,455.45,458.4,93675
BRITANNIA,20220428,3270.0,3391.55,3263.1,3357.9,322548
BRNL,20220428,33.75,34.0,33.0,33.45,19728
BROOKS,20220428,90.0,91.5,87.2,90.2,44692
BSE,20220428,833.7,870.0,823.4,859.05,1350202
BSHSL,20220428,443.55,461.0,441.0,445.05,1471
BSL,20220428,142.9,146.05,133.35,135.05,37880
BSLGOLDETF,20220428,47.3,47.3,46.22,46.37,29448
BSLNIFTY,20220428,19.25,19.25,18.75,19.21,27836
BSLSENETFG,20220428,55.5,55.5,54.5,55.11,1288
BSOFT,20220428,421.6,427.85,417.05,425.1,1729266
BURNPUR,20220428,6.1,6.7,6.1,6.7,398783
BUTTERFLY,20220428,1418.8,1418.8,1405.3,1407.1,14554
BVCL,20220428,23.75,23.75,22.25,22.95,4472
BYKE,20220428,45.8,45.8,42.25,42.5,82760
CALSOFT,20220428,33.1,33.2,30.25,31.1,73274
CAMLINFINE,20220428,129.2,138.9,129.2,135.8,997397
CAMS,20220428,2552.9,2555.0,2490.0,2516.2,77372
CANBK,20220428,233.8,234.7,229.25,233.2,5760925
CANDC,20220428,5.8,5.9,5.55,5.6,35652
CANFINHOME,20220428,641.1,647.9,625.05,636.35,460004
CANTABIL,20220428,1230.0,1230.0,1160.0,1180.1,48322
CAPACITE,20220428,136.8,146.9,136.8,141.5,1070398
CAPLIPOINT,20220428,729.55,732.0,708.0,711.0,86606
CAPTRUST,20220428,143.4,146.85,136.15,138.0,31724
CARBORUNIV,20220428,759.0,780.35,749.75,776.8,122907
CAREERP,20220428,123.2,125.45,122.05,122.4,15667
CARERATING,20220428,472.0,483.15,450.15,477.4,1403478
CARTRADE,20220428,642.05,684.4,642.05,649.8,518118
CASTROLIND,20220428,106.0,107.7,105.6,107.1,1334258
CCCL,20220428,3.15,3.15,3.15,3.15,158706
CCHHL,20220428,8.4,8.4,7.9,8.05,42930
CCL,20220428,398.1,412.0,389.55,407.65,450298
CDSL,20220428,1405.0,1412.8,1381.1,1399.25,430543
