SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME
20MICRONS,20200610,30.0,30.5,28.5,29.15,45866
21STCENMGM,20200610,11.3,11.3,11.0,11.0,4160
3IINFOTECH,20200610,2.4,2.4,2.4,2.4,694585
3MINDIA,20200610,18379.0,18400.0,18082.35,18260.1,2258
5PAISA,20200610,178.0,178.0,165.0,167.1,28418
63MOONS,20200610,77.0,77.0,77.0,77.0,13897
A2ZINFRA,20200610,4.6,4.65,4.45,4.55,307104
AARTIDRUGS,20200610,990.2,1001.05,977.0,989.4,81760
AARTIIND,20200610,936.0,945.0,930.7,933.25,331194
AARVEEDEN,20200610,11.5,12.0,11.5,11.8,14403
AAVAS,20200610,1443.9,1443.9,1269.95,1325.45,43659
ABAN,20200610,24.3,24.5,22.1,23.25,121309
ABB,20200610,838.0,847.0,825.0,830.35,101930
ABBOTINDIA,20200610,16350.0,16480.0,16120.05,16325.35,10387
ABCAPITAL,20200610,54.05,55.8,53.25,54.75,2640211
ABFRL,20200610,131.0,132.7,125.7,129.4,1324393
ABMINTLTD,20200610,13.0,13.0,13.0,13.0,61
ABSLBANETF,20200610,205.01,205.01,199.02,200.0,26
ABSLNN50ET,20200610,256.7,267.68,247.01,261.0,86
ACC,20200610,1252.0,1284.9,1252.0,1275.3,1220062
ACCELYA,20200610,949.0,970.0,928.8,937.6,13957
ACE,20200610,49.0,52.9,48.5,52.0,563438
ADANIENT,20200610,152.75,154.75,150.25,151.85,4135128
ADANIGAS,20200610,133.7,136.25,133.25,134.55,1212856
ADANIGREEN,20200610,328.2,328.2,328.2,328.2,403398
ADANIPORTS,20200610,346.05,349.75,340.4,346.55,2324983
ADANIPOWER,20200610,38.7,39.1,38.1,38.8,10496559
ADANITRANS,20200610,190.4,197.85,188.55,197.8,5476286
ADFFOODS,20200610,284.1,293.0,284.1,291.55,33573
ADHUNIKIND,20200610,19.35,20.5,18.0,19.35,39621
ADORWELD,20200610,255.0,263.5,252.0,260.15,18358
ADROITINFO,20200610,6.0,6.45,5.7,6.3,62100
ADSL,20200610,17.5,18.4,17.1,18.4,79025
ADVANIHOTR,20200610,55.95,55.95,54.5,55.95,103306
ADVENZYMES,20200610,175.0,177.95,169.05,172.05,257870
AEGISCHEM,20200610,188.5,193.8,186.6,188.55,143073
AFFLE,20200610,1520.0,1540.0,1490.0,1502.05,41301
AGARIND,20200610,82.0,88.1,72.1,78.1,351208
AGCNET,20200610,339.4,354.9,324.0,324.3,9089
AGRITECH,20200610,38.95,38.95,36.5,37.05,3001
AGROPHOS,20200610,14.2,14.2,13.05,14.2,132319
AHLEAST,20200610,140.25,147.1,131.55,140.9,3308
AHLUCONT,20200610,197.0,213.85,196.0,204.95,37669
AHLWEST,20200610,263.95,283.0,253.6,277.5,3464
AIAENG,20200610,1648.0,1761.4,1625.1,1740.9,46322
AIONJSW,20200610,15.25,15.25,14.4,14.9,144680
AIRAN,20200610,17.8,17.8,14.6,17.8,809824
AJANTPHARM,20200610,1505.0,1529.0,1490.0,1497.2,139818
AJMERA,20200610,89.7,89.7,86.15,88.2,56680
AKASH,20200610,86.0,90.75,85.0,88.0,732
AKSHARCHEM,20200610,211.0,219.95,207.05,212.4,19375
AKSHOPTFBR,20200610,6.3,6.3,5.8,6.3,2059868
AKZOINDIA,20200610,1881.85,1920.0,1872.0,1899.9,5343
ALANKIT,20200610,14.0,15.1,14.0,14.9,65723
ALBERTDAVD,20200610,526.0,541.55,522.9,534.05,46533
ALCHEM,20200610,6.95,6.95,6.95,6.95,9176
ALEMBICLTD,20200610,59.4,60.5,57.9,59.05,669630
ALICON,20200610,240.6,251.0,235.5,242.4,3199
ALKALI,20200610,49.0,49.0,46.1,48.0,16838
ALKEM,20200610,2420.0,2452.95,2355.5,2378.65,367846
ALKYLAMINE,20200610,2035.0,2049.9,1971.05,2025.45,54200
ALLCARGO,20200610,80.6,82.35,78.1,78.4,134991
ALLSEC,20200610,219.8,219.8,200.0,204.15,4428
ALMONDZ,20200610,11.0,11.45,10.45,11.0,688
ALOKINDS,20200610,25.85,25.85,25.85,25.85,400715
ALPA,20200610,20.6,22.0,20.15,21.1,167974
ALPHAGEO,20200610,193.1,209.7,193.0,206.15,178399
ALPSINDUS,20200610,1.0,1.0,1.0,1.0,45590
AMARAJABAT,20200610,656.05,666.0,652.5,662.5,441436
AMBER,20200610,1448.95,1455.9,1391.0,1415.85,30593
AMBIKCO,20200610,699.9,699.9,652.1,665.3,2994
AMBUJACEM,20200610,188.1,194.35,188.1,192.0,4235763
AMDIND,20200610,16.8,17.1,15.6,16.05,20364
AMJLAND,20200610,15.0,15.55,14.7,15.2,3361
AMRUTANJAN,20200610,365.0,404.0,365.0,392.15,4726721
ANANTRAJ,20200610,22.4,22.55,22.25,22.55,122933
ANDHRACEMT,20200610,5.35,5.35,5.35,5.35,105342
ANDHRAPAP,20200610,227.1,229.0,219.2,224.3,14887
ANDHRSUGAR,20200610,253.95,262.0,247.05,259.05,112094
ANIKINDS,20200610,10.5,10.95,10.0,10.1,7738
ANKITMETAL,20200610,0.45,0.5,0.45,0.5,39789
ANSALAPI,20200610,4.2,4.3,4.05,4.2,117299
ANSALHSG,20200610,3.75,3.75,3.5,3.55,61065
ANUP,20200610,346.05,348.45,331.05,331.45,8964
APARINDS,20200610,331.0,331.0,320.0,325.45,8204
APCL,20200610,128.95,133.35,124.5,128.55,4807
APCOTEXIND,20200610,105.0,114.5,104.2,109.55,94703
APEX,20200610,253.0,259.0,241.5,249.35,395169
APLAPOLLO,20200610,1670.0,1711.0,1650.0,1664.4,62751
APLLTD,20200610,804.5,863.5,802.15,856.9,647061
APOLLO,20200610,99.3,102.8,97.0,99.45,188292
APOLLOHOSP,20200610,1365.0,1378.4,1332.0,1355.65,710311
APOLLOPIPE,20200610,355.0,360.0,348.05,350.8,22137
APOLLOTYRE,20200610,104.4,106.5,103.65,105.65,6352190
APOLSINHOT,20200610,521.0,521.0,476.15,497.8,893
APTECHT,20200610,104.2,107.0,103.2,104.05,145552
ARCHIDPLY,20200610,21.0,21.85,20.05,21.0,8215
ARCHIES,20200610,11.6,11.6,10.6,11.3,30891
ARCOTECH,20200610,2.0,2.0,1.9,2.0,28760
ARENTERP,20200610,10.85,10.85,10.85,10.85,419
ARIES,20200610,67.7,68.0,65.9,66.55,12978
ARIHANT,20200610,14.5,14.7,14.05,14.15,3688
ARIHANTSUP,20200610,22.0,23.9,20.25,23.75,27093
ARMANFIN,20200610,420.95,423.85,383.55,423.85,53627
AROGRANITE,20200610,24.55,25.55,24.05,24.85,3671
ARROWGREEN,20200610,53.4,53.4,51.05,53.4,8229
ARSHIYA,20200610,12.7,12.7,11.5,11.55,94618
ARSSINFRA,20200610,15.6,16.2,14.8,15.4,13394
ARTEMISMED,20200610,179.0,183.0,176.0,183.0,1769
ARVIND,20200610,32.05,34.4,31.85,32.85,3332191
ARVINDFASN,20200610,177.4,177.4,164.2,167.5,84855
ARVSMART,20200610,69.8,71.5,67.6,69.75,38596
ASAHIINDIA,20200610,171.5,185.1,171.5,179.2,26767
ASAHISONG,20200610,107.95,118.0,105.0,112.0,20634
ASAL,20200610,20.2,20.25,18.65,19.0,16028
ASALCBR,20200610,221.0,223.5,215.6,217.15,38739
ASHAPURMIN,20200610,36.0,38.8,35.9,38.8,111490
ASHIANA,20200610,50.15,50.4,48.5,50.0,144198
ASHIMASYN,20200610,6.4,6.6,5.9,6.05,139030
ASHOKA,20200610,53.5,53.9,52.35,53.05,683901
ASHOKLEY,20200610,51.0,53.2,50.75,52.7,53574243
ASIANHOTNR,20200610,54.55,58.0,52.45,56.55,41563
ASIANPAINT,20200610,1648.0,1675.1,1627.9,1635.95,2069326
ASIANTILES,20200610,140.3,154.75,140.05,150.35,353010
ASPINWALL,20200610,117.0,117.0,107.2,112.3,929
ASTEC,20200610,695.5,709.0,690.0,694.0,68455
ASTERDM,20200610,102.85,104.3,100.15,102.0,221110
ASTRAL,20200610,887.0,903.0,883.0,898.3,84575
ASTRAMICRO,20200610,80.05,83.5,78.3,80.95,195055
ASTRAZEN,20200610,3437.75,3467.6,3389.4,3429.3,55632
ASTRON,20200610,32.0,33.6,30.5,32.55,65961
ATFL,20200610,524.0,524.0,510.0,517.8,21461
ATLANTA,20200610,7.8,7.8,7.4,7.8,66305
ATLASCYCLE,20200610,36.85,38.75,36.85,37.7,124243
ATUL,20200610,4699.0,4699.0,4630.55,4646.75,10332
ATULAUTO,20200610,167.05,167.85,159.95,161.8,37290
AUBANK,20200610,485.0,500.0,482.05,486.75,1029060
AURIONPRO,20200610,45.55,56.0,45.55,56.0,112203
AUROPHARMA,20200610,774.2,799.6,772.35,796.95,6605407
