SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME
20MICRONS,20230413,82.5,83.35,82.15,82.85,36248
21STCENMGM,20230413,19.6,20.4,19.6,20.35,4177
360ONE,20230413,428.0,433.5,427.0,428.15,41075
3IINFOLTD,20230413,33.55,33.55,32.9,33.0,216153
3MINDIA,20230413,23035.0,23300.0,22698.95,22861.6,2381
3PLAND,20230413,23.2,25.25,23.2,24.25,19105
4THDIM,20230413,30.45,30.45,30.45,30.45,7880
5PAISA,20230413,298.0,298.0,292.0,294.15,6263
63MOONS,20230413,170.0,175.0,169.15,172.55,133383
A2ZINFRA,20230413,7.05,7.95,6.9,7.15,277207
AAATECH,20230413,57.65,57.85,53.15,54.15,23126
AAKASH,20230413,6.75,6.75,6.5,6.6,71253
AAREYDRUGS,20230413,25.6,26.7,25.6,26.25,43326
AARON,20230413,202.6,202.6,194.9,197.8,9696
AARTIDRUGS,20230413,411.85,418.0,403.0,415.95,836328
AARTIIND,20230413,547.85,552.45,544.35,547.25,413688
AARTIPHARM,20230413,316.5,324.7,313.55,319.0,394409
AARTISURF,20230413,604.9,606.45,571.0,578.15,21224
AARVEEDEN,20230413,23.15,24.7,22.3,22.95,25903
AARVI,20230413,130.0,132.8,129.1,130.85,11057
AAVAS,20230413,1750.05,1812.4,1740.25,1792.45,206396
ABAN,20230413,37.3,37.9,37.0,37.4,67210
ABB,20230413,3216.8,3256.65,3173.0,3230.0,402975
ABBOTINDIA,20230413,22700.0,22745.85,22430.0,22493.7,9727
ABCAPITAL,20230413,156.35,158.0,155.35,157.7,1531256
ABFRL,20230413,223.35,227.6,222.0,226.75,3416826
ABMINTLLTD,20230413,51.8,51.8,51.8,51.8,702
ABSLAMC,20230413,347.35,347.35,336.0,336.85,78289
ABSLBANETF,20230413,42.8,42.8,41.51,42.06,42668
ABSLLIQUID,20230413,999.99,999.99,999.99,999.99,280
ABSLNN50ET,20230413,39.58,39.95,39.42,39.63,3148
ACC,20230413,1758.8,1771.6,1748.1,1767.55,647769
ACCELYA,20230413,1342.35,1354.8,1329.05,1343.4,14938
ACCURACY,20230413,16.9,16.9,16.35,16.45,64710
ACE,20230413,405.85,411.35,398.5,401.75,339726
ACEINTEG,20230413,40.4,40.4,36.6,36.7,575
ACI,20230413,600.0,608.35,574.25,583.4,417231
ADANIENT,20230413,1855.0,1885.0,1826.05,1870.75,3402280
ADANIGREEN,20230413,939.55,963.8,920.0,941.15,2585526
