SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME
20MICRONS,20221206,95.1,95.45,93.55,93.8,76757
21STCENMGM,20221206,22.7,22.7,22.25,22.55,5744
3IINFOLTD,20221206,42.9,43.15,42.4,42.5,364125
3MINDIA,20221206,23119.0,23175.15,22974.1,23086.25,1258
3PLAND,20221206,18.05,18.2,17.4,17.4,6846
4THDIM,20221206,92.0,92.8,89.4,92.8,19735
5PAISA,20221206,326.65,330.0,320.0,328.45,40669
63MOONS,20221206,159.6,161.4,155.1,156.25,68350
A2ZINFRA,20221206,11.15,12.05,10.9,11.2,1078464
AAATECH,20221206,73.95,73.95,68.4,68.4,23256
AAKASH,20221206,6.65,7.0,6.45,7.0,2986424
AAREYDRUGS,20221206,39.75,40.25,38.85,39.2,44621
AARON,20221206,171.5,173.6,170.85,173.6,9217
AARTIDRUGS,20221206,461.0,464.45,459.1,460.3,70134
AARTIIND,20221206,677.55,677.9,664.05,669.65,473151
AARTISURF,20221206,714.95,714.95,705.75,706.65,6613
AARVEEDEN,20221206,29.45,29.45,27.25,27.8,73249
AARVI,20221206,183.0,197.85,183.0,187.1,78708
AAVAS,20221206,1897.7,1897.7,1873.65,1878.5,59840
ABAN,20221206,51.05,54.3,50.6,52.55,794062
ABB,20221206,2974.95,2994.9,2936.7,2944.1,238124
ABBOTINDIA,20221206,20054.0,20325.0,20003.0,20196.2,9908
ABCAPITAL,20221206,158.5,161.25,156.55,158.45,11192515
ABFRL,20221206,316.65,318.35,310.05,311.3,1897739
ABSLAMC,20221206,439.0,441.95,430.1,432.05,85974
ABSLBANETF,20221206,47.99,47.99,43.13,43.31,11468
ABSLNN50ET,20221206,44.87,45.47,44.23,44.89,1628
ACC,20221206,2610.0,2656.85,2608.05,2621.15,599147
ACCELYA,20221206,1681.9,1693.75,1608.35,1618.0,40358
ACCURACY,20221206,182.5,183.05,181.0,181.7,12106
ACE,20221206,331.1,346.95,328.1,339.8,855614
ACEINTEG,20221206,58.2,58.2,55.0,56.55,4464
ACI,20221206,522.05,523.4,502.0,504.9,235149
ADANIENT,20221206,3920.0,4057.0,3909.0,4031.8,2962621
ADANIGREEN,20221206,2042.0,2077.8,2024.45,2063.3,594052
ADANIPORTS,20221206,893.8,902.3,886.0,896.45,4836193
ADANIPOWER,20221206,322.95,331.7,321.9,324.8,2679257
ADANITRANS,20221206,2725.0,2785.0,2718.05,2773.0,569457
ADFFOODS,20221206,799.45,852.7,799.0,839.7,39530
ADL,20221206,69.9,70.15,64.2,65.1,1688
ADORWELD,20221206,855.35,867.4,840.35,849.1,7596
ADROITINFO,20221206,22.2,22.2,21.3,21.7,41571
ADSL,20221206,106.2,106.6,105.05,105.25,61200
ADVANIHOTR,20221206,81.3,83.1,80.4,82.75,41642
ADVENZYMES,20221206,304.1,318.3,303.0,315.5,760772
AEGISCHEM,20221206,329.7,334.3,321.55,323.9,360014
AETHER,20221206,924.95,924.95,909.0,913.9,22761
AFFLE,20221206,1230.0,1232.6,1215.1,1217.95,206510
AGARIND,20221206,650.0,651.35,638.3,642.5,20102
AGI,20221206,321.5,321.7,314.05,316.5,99430
AGRITECH,20221206,95.9,95.9,92.1,92.35,1380
AGROPHOS,20221206,40.1,41.1,39.6,40.0,84882
AGSTRA,20221206,74.95,74.95,74.1,74.25,286581
AHLADA,20221206,121.4,121.4,118.0,121.4,25215
AHLEAST,20221206,115.85,124.7,115.85,117.45,8404
AHLUCONT,20221206,462.0,462.0,444.0,452.8,177925
AIAENG,20221206,2730.0,2794.0,2730.0,2781.85,36841
AIRAN,20221206,17.9,18.1,17.8,17.85,66342
AIROLAM,20221206,91.45,93.25,90.1,91.3,30554
AJANTPHARM,20221206,1266.25,1266.25,1231.0,1235.0,96318
AJMERA,20221206,329.0,334.3,318.0,321.1,130579
AJOONI,20221206,7.7,7.9,7.4,7.55,821855
AJRINFRA,20221206,1.5,1.55,1.5,1.55,442238
AKASH,20221206,33.6,35.1,33.05,34.95,66168
AKG,20221206,64.3,67.5,62.0,67.2,30074
AKSHAR,20221206,68.45,70.0,67.85,67.9,191409
AKSHARCHEM,20221206,310.5,311.6,295.3,299.1,13846
AKSHOPTFBR,20221206,11.05,11.1,10.2,10.75,378866
AKZOINDIA,20221206,2307.0,2378.0,2290.0,2301.2,22035
ALANKIT,20221206,11.75,11.75,11.15,11.35,160647
ALBERTDAVD,20221206,608.6,613.0,604.7,606.45,2121
ALEMBICLTD,20221206,78.0,79.4,76.35,77.1,223043
ALICON,20221206,967.05,986.05,961.5,967.45,22503
ALKALI,20221206,139.2,146.9,137.3,143.2,276596
ALKEM,20221206,3119.85,3139.15,3088.0,3101.6,28351
ALKYLAMINE,20221206,2800.0,2839.95,2798.0,2817.05,24434
ALLCARGO,20221206,423.8,427.6,418.05,419.5,511559
ALLSEC,20221206,494.45,496.0,481.0,484.3,14709
ALMONDZ,20221206,76.85,76.85,74.3,75.45,3266
ALOKINDS,20221206,16.1,16.2,15.9,15.95,1522197
ALPA,20221206,64.5,70.7,62.6,63.1,1563757
ALPHAGEO,20221206,290.05,294.05,287.5,289.4,7034
ALPSINDUS,20221206,2.4,2.45,2.4,2.45,75700
AMARAJABAT,20221206,658.0,661.75,652.5,660.05,506485
AMBER,20221206,2050.0,2050.0,2001.0,2020.55,39265
AMBICAAGAR,20221206,28.95,30.75,28.2,28.4,56975
AMBIKCO,20221206,1600.6,1608.2,1565.15,1572.85,10100
AMBUJACEM,20221206,572.5,585.0,570.6,581.0,6009003
AMDIND,20221206,50.75,52.7,50.05,52.7,69658
AMIORG,20221206,982.25,1000.0,965.0,968.55,121258
AMJLAND,20221206,29.35,30.3,29.0,29.4,41884
AMRUTANJAN,20221206,705.1,709.8,702.0,703.3,20689
ANANDRATHI,20221206,710.8,710.8,706.1,708.4,15201
ANANTRAJ,20221206,101.0,102.05,99.45,100.3,1000128
ANDHRAPAP,20221206,431.6,436.45,425.0,428.6,30874
ANDHRSUGAR,20221206,139.7,141.45,137.6,138.35,362326
ANDREWYU,20221206,25.95,26.95,25.65,25.85,410918
ANGELONE,20221206,1541.8,1575.0,1536.3,1567.85,357990
ANIKINDS,20221206,38.35,39.9,38.2,38.55,57946
ANKITMETAL,20221206,6.05,6.05,5.95,6.0,95274
ANMOL,20221206,154.95,159.0,152.45,155.35,14165
ANSALAPI,20221206,14.9,15.9,14.9,15.9,871711
ANTGRAPHIC,20221206,0.9,0.9,0.85,0.85,788842
ANUP,20221206,887.95,897.65,878.55,889.35,9391
ANURAS,20221206,722.0,722.7,717.0,719.25,22261
APARINDS,20221206,1560.0,1640.0,1560.0,1613.25,211738
APCL,20221206,238.85,259.7,238.5,254.45,142241
APCOTEXIND,20221206,488.65,504.1,487.55,498.8,92618
APEX,20221206,271.5,275.5,270.0,271.55,57255
APLAPOLLO,20221206,1146.85,1148.9,1111.1,1115.65,633358
APLLTD,20221206,599.85,599.85,590.0,590.7,38004
APOLLO,20221206,276.35,285.0,272.0,276.75,134410
APOLLOHOSP,20221206,4770.35,4800.0,4715.0,4788.05,354855
APOLLOPIPE,20221206,513.0,515.45,499.3,503.05,43548
APOLLOTYRE,20221206,317.5,320.4,316.0,319.2,1851704
