SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME
20MICRONS,20221229,88.25,92.1,88.25,91.1,130839
21STCENMGM,20221229,22.7,22.7,22.1,22.15,6770
3IINFOLTD,20221229,40.55,40.8,40.2,40.4,242789
3MINDIA,20221229,22190.0,22190.0,21951.6,22017.3,1490
3PLAND,20221229,16.75,17.6,16.75,17.5,7000
4THDIM,20221229,114.9,115.0,113.95,115.0,14352
5PAISA,20221229,306.4,308.85,301.1,305.3,14722
63MOONS,20221229,155.85,173.7,155.85,167.3,916074
A2ZINFRA,20221229,9.9,10.1,9.9,9.95,130544
AAATECH,20221229,56.45,59.4,56.0,57.05,6577
AAKASH,20221229,7.0,7.0,6.75,6.8,292308
AAREYDRUGS,20221229,39.55,40.3,39.35,39.6,39958
AARON,20221229,169.95,172.0,166.65,170.9,3777
AARTIDRUGS,20221229,449.95,460.0,445.05,451.05,52548
AARTIIND,20221229,617.0,617.2,607.0,610.9,296102
AARTISURF,20221229,630.35,635.1,617.4,623.3,4298
AARVEEDEN,20221229,24.2,24.2,23.2,23.6,20332
AARVI,20221229,156.45,156.45,152.0,153.5,13057
AAVAS,20221229,1849.7,1875.0,1830.0,1854.9,46010
ABAN,20221229,49.0,49.0,48.0,48.65,113885
ABB,20221229,2725.0,2737.0,2678.95,2684.2,225208
ABBOTINDIA,20221229,21626.0,21799.95,21522.0,21726.2,16010
ABCAPITAL,20221229,147.0,154.7,144.2,150.15,5479157
ABFRL,20221229,285.0,289.45,281.5,288.05,3538557
ABMINTLLTD,20221229,67.0,67.0,64.9,64.9,286
ABSLAMC,20221229,446.55,452.25,445.2,451.2,37050
ABSLBANETF,20221229,42.54,43.49,42.54,43.24,13440
ABSLNN50ET,20221229,44.78,44.78,42.5,43.59,3561
ACC,20221229,2455.0,2467.7,2411.15,2447.85,352346
ACCELYA,20221229,1452.0,1479.0,1443.65,1470.65,23498
ACCURACY,20221229,175.2,181.1,172.0,172.35,33419
ACE,20221229,289.05,302.5,286.85,298.35,483478
ACEINTEG,20221229,53.3,54.0,49.0,54.0,4067
ACI,20221229,525.0,528.35,521.25,526.55,293939
ADANIENT,20221229,3790.0,3825.0,3748.1,3810.6,1531692
ADANIGREEN,20221229,1891.0,1938.0,1865.0,1910.25,779002
ADANIPORTS,20221229,807.0,822.5,799.55,819.55,5308353
ADANIPOWER,20221229,305.0,308.4,291.3,304.5,2360636
ADANITRANS,20221229,2530.0,2760.0,2482.65,2669.5,1008521
ADFFOODS,20221229,744.95,781.25,742.6,770.25,19287
ADL,20221229,62.5,65.2,62.45,64.95,152
ADORWELD,20221229,805.0,844.0,801.75,839.6,21930
ADROITINFO,20221229,23.9,24.9,23.5,24.1,61981
ADSL,20221229,92.45,93.2,91.2,91.6,65030
ADVANIHOTR,20221229,84.0,86.0,78.15,80.85,172429
ADVENZYMES,20221229,283.4,283.5,276.0,277.85,28592
AEGISCHEM,20221229,334.0,359.9,332.05,351.9,2199457
AETHER,20221229,842.0,843.0,831.95,840.25,17490
AFFLE,20221229,1056.9,1083.0,1046.05,1077.0,268556
AGARIND,20221229,600.1,614.25,595.3,600.35,24118
AGI,20221229,318.55,334.75,287.0,330.8,260561
AGRITECH,20221229,115.0,119.45,107.1,108.9,224835
AGROPHOS,20221229,45.6,46.1,42.55,46.05,278084
AGSTRA,20221229,64.65,64.65,63.85,63.95,240016
AHL,20221229,201.0,201.9,193.35,193.85,395919
AHLADA,20221229,103.1,106.0,103.1,105.35,4997
AHLEAST,20221229,114.0,114.25,112.1,112.45,908
AHLUCONT,20221229,473.0,494.0,457.25,482.4,30141
AIAENG,20221229,2559.0,2617.35,2553.85,2584.8,23058
AIRAN,20221229,16.85,16.95,16.4,16.45,171155
AIROLAM,20221229,84.25,85.95,83.95,84.2,4860
AJANTPHARM,20221229,1182.55,1209.9,1182.55,1200.0,105583
AJMERA,20221229,315.0,317.9,303.35,308.0,203338
AJOONI,20221229,6.45,6.45,6.2,6.3,1517625
AJRINFRA,20221229,1.35,1.4,1.35,1.35,371928
AKASH,20221229,31.35,31.35,29.75,30.8,8326
AKG,20221229,43.0,43.0,39.4,39.4,23736
AKG-RE,20221229,20.05,20.05,17.7,17.7,16360
AKSHAR,20221229,61.5,61.5,61.5,61.5,8154
AKSHARCHEM,20221229,259.1,260.95,255.55,257.9,4201
AKSHOPTFBR,20221229,9.85,10.15,9.65,9.85,181777
AKZOINDIA,20221229,2202.85,2230.0,2194.1,2223.45,4814
ALANKIT,20221229,10.9,10.9,10.6,10.75,96679
ALBERTDAVD,20221229,572.1,573.95,562.05,565.7,1494
ALEMBICLTD,20221229,72.15,72.2,70.6,71.25,101392
ALICON,20221229,882.0,882.0,853.2,863.15,6071
ALKALI,20221229,127.85,138.0,124.55,131.05,137671
ALKEM,20221229,3028.45,3039.55,2997.0,3003.25,45280
ALKYLAMINE,20221229,2692.0,2692.0,2640.0,2648.7,22052
ALLCARGO,20221229,411.65,412.95,400.0,403.35,337664
ALLSEC,20221229,526.45,533.15,510.55,517.95,25843
ALMONDZ,20221229,69.25,69.4,65.2,66.35,2953
ALOKINDS,20221229,15.6,15.7,15.4,15.55,1133967
ALPA,20221229,63.0,63.35,61.7,62.2,37546
ALPHAGEO,20221229,261.25,265.5,261.0,263.0,7795
ALPSINDUS,20221229,2.2,2.2,2.1,2.1,76668
AMARAJABAT,20221229,567.5,569.35,548.05,550.25,3644262
AMBER,20221229,1936.85,1936.85,1900.0,1902.15,44377
AMBICAAGAR,20221229,25.25,25.65,23.8,24.2,89608
AMBIKCO,20221229,1484.0,1509.2,1457.25,1490.9,10509
AMBUJACEM,20221229,517.2,534.4,504.6,522.75,7354986
AMDIND,20221229,57.5,60.45,56.4,59.85,74986
AMIORG,20221229,977.0,986.45,953.4,958.95,51201
AMJLAND,20221229,28.35,28.35,27.3,27.8,11838
AMRUTANJAN,20221229,701.55,705.65,698.45,701.55,7543
ANANDRATHI,20221229,692.85,700.0,691.6,699.5,11611
ANANTRAJ,20221229,100.55,106.25,100.0,105.25,4416179
ANDHRAPAP,20221229,418.2,419.95,414.05,418.5,16159
ANDHRSUGAR,20221229,131.1,135.8,130.45,133.45,356423
ANDREWYU,20221229,27.0,28.9,26.55,28.2,884518
ANGELONE,20221229,1290.0,1338.35,1290.0,1333.35,331425
ANIKINDS,20221229,38.2,39.8,37.85,38.1,48074
ANKITMETAL,20221229,6.05,6.05,5.75,5.85,98968
ANMOL,20221229,151.0,151.7,149.8,149.95,1449
ANTGRAPHIC,20221229,0.85,0.85,0.8,0.8,443178
ANUP,20221229,860.0,863.4,841.25,847.25,11379
ANURAS,20221229,668.5,674.75,660.0,665.55,34905
APARINDS,20221229,1760.0,1793.0,1740.15,1759.8,104211
APCL,20221229,207.5,208.9,205.6,207.75,10119
APCOTEXIND,20221229,473.95,473.95,460.0,464.25,23414
APEX,20221229,249.3,249.65,245.15,247.15,28805
APLAPOLLO,20221229,1058.25,1134.4,1055.95,1116.45,554320
APLLTD,20221229,588.6,593.0,578.1,580.55,40856
APOLLO,20221229,270.8,280.05,269.7,278.0,203756
APOLLOHOSP,20221229,4588.65,4610.0,4478.5,4524.45,530411
APOLLOPIPE,20221229,501.05,513.5,498.2,510.25,14910
APOLLOTYRE,20221229,320.0,327.5,317.4,326.5,2306713
APOLSINHOT,20221229,1234.65,1284.6,1201.1,1209.85,668
APTECHT,20221229,316.3,321.3,311.0,317.75,86824
APTUS,20221229,293.0,320.0,288.45,313.4,308914
ARCHIDPLY,20221229,68.05,72.25,67.55,69.1,40662
