SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME
20MICRONS,20230707,94.95,94.95,92.4,92.7,38214
21STCENMGM,20230707,21.15,21.15,21.15,21.15,1976
360ONE,20230707,477.0,490.25,473.75,481.95,411667
3IINFOLTD,20230707,33.75,34.2,33.3,33.4,594191
3MINDIA,20230707,27361.45,27400.0,26902.2,26997.85,2083
3PLAND,20230707,20.45,20.45,19.5,20.2,6268
4THDIM,20230707,15.95,15.95,15.95,15.95,57812
5PAISA,20230707,402.5,409.5,392.9,398.35,105399
63MOONS,20230707,245.85,248.85,237.85,241.55,187512
A2ZINFRA,20230707,7.05,7.1,6.95,7.1,95794
AAATECH,20230707,54.25,55.6,53.5,54.1,9904
AAKASH,20230707,5.95,6.0,5.85,5.9,103020
AAREYDRUGS,20230707,33.1,33.75,32.9,33.15,27319
AARON,20230707,250.0,250.0,231.15,236.9,33879
AARTIDRUGS,20230707,472.0,476.95,464.1,470.7,223499
AARTIIND,20230707,487.45,488.8,471.0,472.1,3313526
AARTIPHARM,20230707,364.05,366.2,356.2,360.3,113842
AARTISURF,20230707,617.1,623.65,614.35,616.7,5872
AARVEEDEN,20230707,20.55,20.55,20.15,20.35,5162
AARVI,20230707,138.4,138.4,132.35,134.45,8049
AAVAS,20230707,1537.7,1573.95,1521.65,1563.9,243761
ABAN,20230707,41.4,42.4,41.1,41.45,69886
ABB,20230707,4400.0,4430.0,4353.0,4399.75,121844
ABBOTINDIA,20230707,23815.0,23815.0,23451.05,23499.4,6240
ABCAPITAL,20230707,189.8,192.35,188.4,189.25,5561818
ABFRL,20230707,214.0,215.4,212.1,213.55,2545529
ABSLAMC,20230707,371.9,376.25,369.05,370.05,123443
ABSLBANETF,20230707,46.23,46.23,45.17,45.23,24531
ABSLLIQUID,20230707,999.99,1000.01,999.99,1000.01,1236
ABSLNN50ET,20230707,45.45,45.8,45.12,45.14,7263
ACC,20230707,1817.95,1817.95,1784.95,1791.5,1083059
ACCELYA,20230707,1341.5,1353.75,1324.55,1329.2,15808
ACCURACY,20230707,10.95,10.95,10.7,10.8,189651
ACE,20230707,544.0,602.6,542.15,594.55,2118644
ACEINTEG,20230707,38.7,38.7,38.5,38.5,2343
ACI,20230707,539.4,540.95,532.05,534.55,114843
ACL,20230707,87.65,88.9,86.9,87.35,26831
ADANIENT,20230707,2395.0,2409.95,2368.1,2379.6,1823645
ADANIGREEN,20230707,962.8,964.9,946.0,951.0,585951
ADANIPORTS,20230707,739.95,740.0,716.2,718.7,4248724
ADANIPOWER,20230707,245.05,247.7,242.8,243.75,1903403
ADANITRANS,20230707,768.5,772.0,755.0,759.85,707804
ADFFOODS,20230707,1052.95,1057.5,1032.05,1040.65,20986
ADL,20230707,74.9,78.2,74.9,76.4,13721
ADORWELD,20230707,1214.25,1214.4,1190.0,1201.5,16904
ADROITINFO,20230707,18.0,18.0,17.25,17.85,8553
ADSL,20230707,109.0,109.0,105.0,106.1,349975
ADVANIHOTR,20230707,87.95,89.7,86.6,89.05,56583
ADVENZYMES,20230707,290.15,297.0,281.25,283.75,351191
AEGISCHEM,20230707,345.4,345.4,336.3,338.3,3095807
AETHER,20230707,1065.1,1081.75,1061.05,1077.3,70995
AFFLE,20230707,1061.0,1077.6,1051.2,1056.75,134282
AGARIND,20230707,618.8,618.8,604.75,607.35,20846
AGI,20230707,574.0,579.6,570.0,575.55,85293
AGRITECH,20230707,103.6,104.5,102.15,102.65,7282
AGROPHOS,20230707,35.25,35.5,34.55,35.0,48091
AGSTRA,20230707,58.95,59.5,57.9,58.3,169822
AHL,20230707,280.05,282.0,279.5,280.1,68365
AHLADA,20230707,112.4,113.4,109.6,111.3,7449
AHLEAST,20230707,122.15,122.3,121.5,121.8,657
AHLUCONT,20230707,684.05,686.95,660.3,672.2,58969
AIAENG,20230707,3233.0,3248.5,3181.05,3207.75,86116
AIRAN,20230707,17.7,17.95,17.55,17.7,234782
AIROLAM,20230707,90.5,90.5,85.55,86.45,29928
AJANTPHARM,20230707,1435.0,1447.45,1396.45,1421.3,165128
AJMERA,20230707,371.9,378.0,366.95,373.95,59833
AJOONI,20230707,4.7,4.8,4.6,4.6,221914
AKASH,20230707,27.5,28.35,27.0,27.35,15633
AKG,20230707,28.45,28.45,26.45,27.6,96524
AKI,20230707,22.05,23.4,22.05,22.75,98506
AKSHAR,20230707,69.45,69.45,67.5,68.05,24237
AKSHARCHEM,20230707,245.8,251.9,237.5,241.0,15130
AKSHOPTFBR,20230707,8.45,8.45,8.3,8.35,421590
AKZOINDIA,20230707,2490.0,2528.65,2476.4,2516.25,15659
ALANKIT,20230707,12.05,13.0,11.5,12.55,1966989
ALBERTDAVD,20230707,630.0,637.45,612.25,628.1,17777
ALEMBICLTD,20230707,73.4,73.6,71.9,72.45,167233
ALICON,20230707,877.3,884.0,856.85,864.45,20120
ALKALI,20230707,113.8,115.0,112.0,112.1,10329
ALKEM,20230707,3540.0,3540.0,3477.05,3490.75,85096
ALKYLAMINE,20230707,2644.0,2671.35,2600.0,2610.45,26086
ALLCARGO,20230707,285.0,293.5,283.3,286.4,547885
ALLSEC,20230707,531.0,533.45,522.7,525.6,4075
ALMONDZ,20230707,79.4,79.4,76.25,76.85,7306
ALOKINDS,20230707,16.75,16.9,16.3,16.45,11145629
ALPA,20230707,68.75,73.1,68.75,70.75,202220
ALPHAGEO,20230707,271.0,282.5,271.0,279.7,20208
ALPSINDUS,20230707,1.75,1.75,1.75,1.75,15796
AMARAJABAT,20230707,703.35,708.0,697.0,699.8,476340
AMBER,20230707,2299.7,2299.9,2210.25,2221.85,155389
AMBICAAGAR,20230707,39.5,41.0,37.6,40.25,114969
AMBIKCO,20230707,1620.0,1629.95,1600.55,1616.15,12708
AMBUJACEM,20230707,430.0,430.7,416.5,417.9,3734746
AMDIND,20230707,66.0,67.5,65.9,65.95,14043
AMIORG,20230707,1270.0,1306.95,1269.55,1277.25,92167
AMJLAND,20230707,26.95,27.55,26.7,27.25,43244
AMRUTANJAN,20230707,722.9,728.7,721.0,723.4,72946
ANANDRATHI,20230707,907.7,922.0,902.45,912.9,92170
ANANTRAJ,20230707,181.4,182.65,177.0,178.5,695239
ANDHRAPAP,20230707,425.05,433.3,421.05,423.35,128129
ANDHRSUGAR,20230707,112.25,114.8,111.3,112.25,216979
ANDREWYU,20230707,25.65,26.15,24.7,25.1,669696
ANGELONE,20230707,1762.0,1781.6,1705.1,1712.15,351730
ANIKINDS,20230707,32.45,32.45,30.2,30.95,43823
ANMOL,20230707,237.0,237.0,233.2,235.75,156152
ANSALAPI,20230707,9.0,9.0,8.65,8.8,236508
ANTGRAPHIC,20230707,0.65,0.7,0.6,0.65,543596
ANUP,20230707,1856.05,1925.9,1825.0,1838.3,110718
ANURAS,20230707,997.0,1010.1,985.0,992.85,178557
APARINDS,20230707,3480.0,3543.95,3455.0,3482.4,65806
APCL,20230707,183.8,183.95,179.2,179.85,26781
APCOTEXIND,20230707,550.0,553.05,537.35,540.3,39399
APEX,20230707,212.8,214.1,211.2,212.05,110715
APLAPOLLO,20230707,1320.0,1344.0,1308.45,1317.65,328934
APLLTD,20230707,653.7,663.0,642.1,656.9,150551
APOLLO,20230707,48.45,49.15,46.35,48.3,2087729
