SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME
20MICRONS,20250207,191.15,191.15,182.9,183.66,148596
21STCENMGM,20250207,81.58,81.58,80.0,80.84,9510
360ONE,20250207,1014.4,1025.25,1003.0,1018.7,644115
3IINFOLTD,20250207,30.99,30.99,29.59,29.68,613425
3MINDIA,20250207,28485.8,28785.8,27901.05,28167.25,14235
3PLAND,20250207,47.25,50.0,47.25,48.95,5436
5PAISA,20250207,400.0,405.0,395.3,398.45,19089
63MOONS,20250207,765.0,785.95,754.05,774.4,117598
A2ZINFRA,20250207,21.9,21.95,20.65,21.16,285071
AAATECH,20250207,101.75,102.99,99.01,99.7,8139
AADHARHFC,20250207,399.0,411.5,398.15,401.15,2693439
AAKASH,20250207,10.04,10.29,9.9,9.93,78673
AAREYDRUGS,20250207,48.22,51.49,48.12,49.72,11764
AARON,20250207,384.7,384.7,370.0,373.75,9616
AARTECH,20250207,68.39,68.39,66.05,67.47,11875
AARTIDRUGS,20250207,423.15,425.95,415.0,416.3,112204
AARTIIND,20250207,469.95,471.6,460.9,465.4,928326
AARTIPHARM,20250207,669.8,771.0,669.75,740.85,6199098
AARTISURF,20250207,603.4,616.8,585.95,611.55,12570
AARVEEDEN,20250207,131.0,132.34,130.5,130.5,33442
AARVI,20250207,123.34,124.89,121.11,121.81,2604
AAVAS,20250207,1729.95,1737.3,1703.0,1716.6,191243
ABAN,20250207,44.85,45.21,43.28,43.83,92170
ABB,20250207,5712.8,5758.85,5601.05,5685.75,284417
ABBOTINDIA,20250207,28980.0,29861.9,28979.95,29799.6,32928
ABCAPITAL,20250207,169.3,172.29,167.79,169.41,3474325
ABDL,20250207,392.05,393.8,385.75,391.7,211874
ABFRL,20250207,281.0,281.4,273.5,275.6,823885
ABGSEC,20250207,105.51,105.6,105.0,105.6,23
ABINFRA,20250207,93.08,97.9,92.43,93.97,99568
ABMINTLLTD,20250207,63.37,63.37,61.0,61.0,80
ABREL,20250207,2276.0,2285.0,2223.65,2250.1,80549
ABSLAMC,20250207,702.75,710.0,682.6,695.9,160042
ABSLBANETF,20250207,51.5,52.0,50.55,50.9,502226
ABSLLIQUID,20250207,1000.0,1000.01,1000.0,1000.0,5158
ABSLNN50ET,20250207,67.1,67.1,65.51,65.99,11122
ABSLPSE,20250207,9.12,9.2,8.95,9.08,384071
ACC,20250207,1997.95,2020.05,1971.7,1999.1,191149
ACCELYA,20250207,1437.0,1437.0,1392.75,1403.45,9341
ACCURACY,20250207,9.48,9.62,9.0,9.47,258187
ACE,20250207,1247.8,1266.4,1232.0,1260.65,179379
ACEINTEG,20250207,27.36,28.4,26.29,27.48,28447
ACI,20250207,548.0,567.55,544.0,563.35,346740
ACL,20250207,71.08,72.29,70.1,70.27,13086
ACLGATI,20250207,76.0,77.02,74.16,75.48,333399
ACMESOLAR,20250207,241.45,241.45,233.13,234.15,1707606
ADANIENSOL,20250207,773.95,782.9,759.2,773.4,771037
ADANIENT,20250207,2312.45,2374.9,2307.35,2338.8,892900
ADANIGREEN,20250207,999.9,1009.55,984.1,989.5,1238324
ADANIPORTS,20250207,1160.0,1175.65,1132.8,1146.1,4079540
ADANIPOWER,20250207,505.0,506.7,491.0,494.1,4385362
