SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME
20MICRONS,20190531,42.8,42.8,40.25,40.6,58256
21STCENMGM,20190531,19.05,19.05,19.05,19.05,40
3IINFOTECH,20190531,3.55,3.6,3.5,3.5,1306668
3MINDIA,20190531,23182.8,23182.8,22500.0,22741.8,1391
3PLAND,20190531,10.45,10.45,10.45,10.45,1000
5PAISA,20190531,242.85,254.0,230.75,240.05,20356
63MOONS,20190531,140.15,140.15,128.3,129.1,203311
8KMILES,20190531,101.9,102.55,99.0,99.7,95575
A2ZINFRA,20190531,16.95,16.95,15.5,15.7,206688
AARTIDRUGS,20190531,579.7,579.8,565.0,569.2,5285
AARTIIND,20190531,1850.0,1876.55,1840.1,1869.15,76572
AARVEEDEN,20190531,23.45,23.85,23.05,23.15,9337
AAVAS,20190531,1400.45,1443.75,1391.4,1419.7,260347
ABAN,20190531,54.25,54.25,50.1,50.4,71491
ABB,20190531,1579.75,1598.35,1561.0,1569.3,44434
ABBOTINDIA,20190531,7780.0,7929.95,7700.0,7777.55,2943
ABCAPITAL,20190531,100.1,100.95,98.3,99.1,1565654
ABFRL,20190531,220.1,221.0,208.8,210.95,613276
ABSLNN50ET,20190531,279.32,279.32,275.89,276.29,327
ACC,20190531,1714.0,1719.45,1670.0,1686.0,624323
ACCELYA,20190531,897.1,903.0,896.0,899.75,2144
ACE,20190531,105.7,107.95,104.75,106.8,150473
ADANIENT,20190531,158.5,159.3,149.1,154.75,7553254
ADANIGAS,20190531,170.0,172.8,164.25,164.85,1269835
ADANIGREEN,20190531,44.8,45.0,41.95,43.3,733078
ADANIPORTS,20190531,408.8,417.7,407.35,416.4,4217665
ADANIPOWER,20190531,51.75,53.3,49.1,50.35,26960956
ADANITRANS,20190531,234.85,243.0,231.95,235.9,245628
ADFFOODS,20190531,296.9,305.0,286.5,293.1,340656
ADHUNIK,20190531,2.0,2.0,1.9,1.9,79640
ADHUNIKIND,20190531,84.05,86.7,83.55,84.85,8382
ADLABS,20190531,7.5,7.8,7.5,7.6,57690
ADORWELD,20190531,368.4,369.1,364.65,364.85,3410
ADROITINFO,20190531,15.4,15.4,14.4,14.4,622
ADSL,20190531,17.9,17.9,17.85,17.9,73196
ADVANIHOTR,20190531,65.45,65.9,63.0,63.8,2177
ADVENZYMES,20190531,212.5,217.9,210.45,214.55,390209
AEGISCHEM,20190531,225.1,228.7,220.25,226.0,113563
AGARIND,20190531,167.2,170.05,157.2,159.2,8113
AGCNET,20190531,112.05,114.35,110.0,110.05,3278
AGLSL,20190531,54.65,57.5,53.5,56.5,19570
AGRITECH,20190531,63.1,65.35,61.5,61.85,7850
AGROPHOS,20190531,73.0,77.25,73.0,76.05,37303
AHLEAST,20190531,213.6,218.25,206.0,213.85,13791
AHLUCONT,20190531,342.0,348.0,330.3,334.0,10751
AHLWEST,20190531,340.0,350.0,335.1,349.65,754
AIAENG,20190531,1774.6,1800.0,1767.3,1788.4,31178
AIFL,20190531,5.95,5.95,5.95,5.95,12677
AIONJSW,20190531,21.1,21.7,20.45,20.85,48010
AIRAN,20190531,31.9,31.9,30.1,30.5,2527
AJANTPHARM,20190531,1041.4,1049.9,1031.2,1045.55,274551
AJMERA,20190531,184.6,185.6,177.0,181.65,61466
AKSHARCHEM,20190531,344.0,349.8,324.0,329.3,7313
AKSHOPTFBR,20190531,13.9,13.9,13.4,13.4,432107
AKZOINDIA,20190531,1717.0,1786.0,1717.0,1738.25,3391
ALANKIT,20190531,38.9,40.1,37.2,39.75,1080898
ALBERTDAVD,20190531,460.0,467.9,431.25,434.45,8578
ALBK,20190531,46.55,46.9,44.1,44.95,6037251
ALCHEM,20190531,1.8,1.8,1.8,1.8,461
ALEMBICLTD,20190531,43.1,44.1,42.3,43.35,284217
ALICON,20190531,606.0,621.0,605.0,609.35,2293
ALKALI,20190531,44.4,48.0,44.3,45.7,16477
ALKEM,20190531,1820.0,1820.0,1765.1,1794.35,72681
ALKYLAMINE,20190531,827.1,829.95,819.55,827.25,3690
ALLCARGO,20190531,115.7,116.0,112.5,113.7,122819
