SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME
20MICRONS,20170112,37.5,38.1,35.8,36.15,69760
3IINFOTECH,20170112,6.2,6.4,6.15,6.25,2788138
3MINDIA,20170112,12599.7,12800.0,12515.0,12579.0,1546
8KMILES,20170112,680.0,689.0,670.3,673.75,52351
A2ZINFRA,20170112,45.1,45.25,43.25,43.55,486777
AARTIDRUGS,20170112,618.0,630.0,610.0,623.0,16197
AARTIIND,20170112,703.0,703.9,698.15,699.55,8520
AARVEEDEN,20170112,86.05,87.85,84.45,84.8,10379
ABAN,20170112,243.7,251.9,240.05,242.6,1577777
ABB,20170112,1133.0,1149.5,1103.4,1125.3,133120
ABBOTINDIA,20170112,4530.0,4549.0,4506.0,4515.85,861
ABFRL,20170112,141.4,143.0,139.4,139.7,151893
ABGSHIP,20170112,31.55,31.55,30.3,30.8,207704
ABIRLANUVO,20170112,1277.0,1284.8,1261.65,1270.05,277340
ACC,20170112,1357.0,1361.0,1332.35,1341.6,282105
ACCELYA,20170112,1443.5,1475.6,1443.5,1474.45,637
ACE,20170112,50.3,50.8,49.5,49.65,133727
ADANIENT,20170112,80.6,81.25,79.05,80.15,1553335
ADANIPORTS,20170112,297.0,298.85,289.55,292.75,3420733
ADANIPOWER,20170112,35.35,36.95,34.2,36.45,21478291
ADANITRANS,20170112,60.5,60.85,58.55,58.9,668328
ADFFOODS,20170112,152.85,152.85,146.0,148.5,63188
ADHUNIK,20170112,7.25,7.3,7.0,7.1,71852
ADHUNIKIND,20170112,106.05,113.6,105.15,106.05,34458
ADI,20170112,544.95,548.0,540.0,543.6,6246
ADLABS,20170112,76.1,77.15,75.7,75.95,128448
ADORWELD,20170112,300.0,308.35,300.0,304.0,4778
ADSL,20170112,36.2,37.1,36.1,36.1,17433
ADVANIHOTR,20170112,53.5,53.5,51.0,51.95,10315
ADVENZYMES,20170112,1866.65,1870.0,1838.0,1845.2,69871
AEGISCHEM,20170112,140.1,141.25,138.0,140.1,233233
AFL,20170112,57.3,57.3,56.2,56.3,2467
AGARIND,20170112,360.0,360.0,346.0,354.85,4674
AGCNET,20170112,90.1,94.0,90.1,92.35,5840
AGRITECH,20170112,35.0,35.6,32.5,33.0,10090
AHLEAST,20170112,190.45,204.2,190.45,193.95,2959
AHLUCONT,20170112,261.0,266.0,260.1,265.0,1795
AHLWEST,20170112,214.0,227.0,212.0,219.55,629
AIAENG,20170112,1316.0,1439.0,1312.2,1396.75,359459
AICHAMP,20170112,25.85,25.85,25.85,25.85,300
AIFL,20170112,423.8,424.65,409.0,416.6,81245
AJANTPHARM,20170112,1787.0,1821.6,1770.0,1794.65,89869
AJMERA,20170112,150.5,151.0,147.1,148.75,41491
AKSHOPTFBR,20170112,25.4,25.4,24.65,24.7,996913
AKZOINDIA,20170112,1387.0,1399.85,1351.35,1356.95,29404
ALANKIT,20170112,35.8,37.5,34.65,35.0,2129423
