SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME
20MICRONS,20171113,48.9,51.4,48.3,49.2,219937
3IINFOTECH,20171113,3.95,4.0,3.9,3.9,950230
3MINDIA,20171113,15698.85,15698.85,15265.05,15293.8,631
63MOONS,20171113,121.85,124.0,121.85,121.85,124781
8KMILES,20171113,759.0,830.3,759.0,830.3,599826
A2ZINFRA,20171113,37.5,39.4,37.0,37.6,1984312
AARTIDRUGS,20171113,527.0,537.0,520.4,527.75,21161
AARTIIND,20171113,910.0,910.0,888.95,892.8,39775
AARVEEDEN,20171113,44.8,45.0,43.2,43.95,19520
ABAN,20171113,201.95,204.3,196.1,199.4,1438332
ABB,20171113,1355.5,1368.3,1351.1,1359.4,13055
ABBOTINDIA,20171113,4595.0,5413.4,4595.0,5048.05,170735
ABCAPITAL,20171113,195.7,198.15,193.25,194.0,2981764
ABFRL,20171113,149.75,152.95,148.65,149.95,397627
ABGSHIP,20171113,12.6,12.9,12.3,12.4,5339
ABMINTLTD,20171113,43.45,43.45,42.5,42.5,188
ACC,20171113,1750.0,1772.85,1740.45,1756.75,252028
ACCELYA,20171113,1310.0,1320.2,1281.0,1293.85,10568
ACE,20171113,96.7,98.7,92.3,95.25,1325804
ADANIENT,20171113,157.1,160.2,150.85,152.8,5822879
ADANIPORTS,20171113,433.0,433.55,411.4,413.35,4344820
ADANIPOWER,20171113,36.2,36.3,33.55,33.9,15125860
ADANITRANS,20171113,208.4,215.25,205.75,215.25,1314450
ADFFOODS,20171113,233.5,250.8,229.3,241.2,1000896
ADHUNIK,20171113,4.45,4.55,4.35,4.4,30658
ADHUNIKIND,20171113,57.3,59.0,55.1,57.95,6498
ADLABS,20171113,76.1,76.65,71.2,71.8,346897
ADORWELD,20171113,554.0,568.0,544.0,547.5,36244
ADSL,20171113,22.8,22.8,21.05,21.55,18908
ADVANIHOTR,20171113,63.6,65.9,62.5,64.65,32548
ADVENZYMES,20171113,266.15,271.5,266.15,267.95,127755
AEGISCHEM,20171113,228.8,234.7,225.1,230.8,111510
AFL,20171113,32.5,35.05,32.5,35.05,393
AGARIND,20171113,539.95,540.0,515.5,532.0,7618
AGCNET,20171113,106.0,110.0,105.25,107.55,2217
AGLSL,20171113,123.05,126.35,120.0,120.7,23769
AGRITECH,20171113,125.35,129.8,121.5,129.8,28801
AHLEAST,20171113,275.05,287.0,272.5,279.0,5888
AHLUCONT,20171113,332.0,339.0,324.0,326.5,13642
AHLWEST,20171113,302.95,334.7,275.0,307.25,36355
AIAENG,20171113,1385.0,1416.0,1385.0,1410.15,5031
AIFL,20171113,520.0,555.0,520.0,540.15,150242
AJANTPHARM,20171113,1206.0,1217.45,1186.95,1208.9,103420
AJMERA,20171113,293.9,298.45,286.0,292.4,375142
AKSHARCHEM,20171113,749.85,750.0,680.0,689.5,75554
AKSHOPTFBR,20171113,30.5,33.0,29.2,30.2,6254400
AKZOINDIA,20171113,1785.05,1820.0,1779.0,1787.55,9287
ALANKIT,20171113,35.0,35.45,34.6,34.95,1970463
ALBERTDAVD,20171113,295.8,295.8,275.65,286.0,1868
ALBK,20171113,79.9,80.95,77.0,77.5,5917993
ALCHEM,20171113,14.25,15.1,14.25,15.1,153182
ALEMBICLTD,20171113,39.55,39.95,39.0,39.1,231547
ALICON,20171113,581.05,584.3,570.0,571.55,1931
ALKALI,20171113,70.0,75.5,70.0,72.75,7775
ALKEM,20171113,1910.0,2019.6,1910.0,1991.3,35649
ALKYLAMINE,20171113,573.5,578.95,564.5,571.9,8679
ALLCARGO,20171113,169.35,172.4,168.0,168.6,543611
ALLSEC,20171113,454.6,474.9,432.25,464.6,30900
ALMONDZ,20171113,24.45,24.9,24.05,24.5,7216
