SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME
20MICRONS,20220324,76.55,78.45,75.2,76.65,107409
21STCENMGM,20220324,29.2,29.2,29.2,29.2,2762
3IINFOLTD,20220324,56.1,56.95,55.2,55.8,712639
3MINDIA,20220324,20210.0,20324.65,19899.85,19976.8,2642
3PLAND,20220324,15.9,15.9,14.95,15.45,3632
5PAISA,20220324,350.0,357.75,346.35,350.35,23193
63MOONS,20220324,212.95,222.95,210.0,222.0,37509
A2ZINFRA,20220324,9.9,10.1,9.65,9.85,459151
AAKASH,20220324,25.8,25.8,23.9,25.65,146536
AAREYDRUGS,20220324,42.3,43.4,42.3,42.75,36291
AARON,20220324,118.0,119.9,115.05,117.4,4395
AARTIDRUGS,20220324,444.85,447.25,436.0,438.65,192727
AARTIIND,20220324,912.55,925.85,909.6,919.4,446309
AARTISURF,20220324,845.5,860.0,824.45,834.95,43232
AARVEEDEN,20220324,25.35,25.35,24.5,25.25,18240
AARVI,20220324,91.55,93.9,86.6,90.65,19001
AAVAS,20220324,2317.95,2317.95,2237.95,2258.2,181406
ABAN,20220324,49.0,50.65,48.8,49.25,161299
ABB,20220324,1991.25,2054.0,1982.0,2038.65,251286
ABBOTINDIA,20220324,16642.05,16698.9,16400.0,16469.25,9497
ABCAPITAL,20220324,108.8,112.4,108.25,109.95,4828323
ABFRL,20220324,288.95,299.0,285.25,296.25,3432943
ABMINTLLTD,20220324,90.05,94.2,90.05,90.95,749
ABSLAMC,20220324,506.0,512.45,504.5,511.4,181721
ABSLBANETF,20220324,43.0,43.0,35.26,35.34,17406
ABSLNN50ET,20220324,41.7,42.5,40.7,41.51,8310
ACC,20220324,2050.15,2092.95,2050.15,2080.4,294252
ACCELYA,20220324,971.05,997.0,971.05,978.15,17691
ACCURACY,20220324,247.35,250.6,240.6,244.4,236185
ACE,20220324,224.9,225.2,221.0,221.65,220026
ACRYSIL,20220324,775.2,805.0,775.2,796.8,53335
ADANIENT,20220324,1815.0,1839.55,1800.15,1832.8,1030145
ADANIGREEN,20220324,1887.0,1924.0,1887.0,1911.4,477913
ADANIPORTS,20220324,733.0,742.3,731.0,733.45,2914647
ADANIPOWER,20220324,130.7,134.85,130.2,132.15,25846110
ADANITRANS,20220324,2415.0,2434.95,2371.75,2414.4,299163
ADFFOODS,20220324,733.9,738.0,712.0,718.0,15505
ADL,20220324,43.6,47.3,43.6,47.15,257
ADORWELD,20220324,645.0,645.0,629.5,632.65,4213
ADROITINFO,20220324,11.4,12.5,11.4,12.5,17216
ADSL,20220324,118.6,121.2,118.2,119.8,55429
ADVANIHOTR,20220324,93.4,93.4,88.5,89.3,223234
ADVENZYMES,20220324,302.05,304.45,294.6,295.8,171968
AEGISCHEM,20220324,200.5,203.9,199.75,202.0,738063
AFFLE,20220324,1218.95,1238.15,1212.4,1219.5,159177
AGARIND,20220324,575.0,649.8,575.0,639.45,220843
AGRITECH,20220324,117.95,117.95,112.85,117.95,134721
AGROPHOS,20220324,25.5,25.9,25.05,25.2,137682
AGSTRA,20220324,100.2,102.3,100.2,101.15,223668
AHLADA,20220324,113.7,116.5,113.2,114.0,25459
AHLEAST,20220324,199.35,199.35,193.3,194.2,4630
AHLUCONT,20220324,440.0,467.0,431.5,438.0,610591
AIAENG,20220324,1692.5,1740.85,1691.05,1708.3,16782
AIRAN,20220324,19.85,19.85,19.35,19.6,141817
AIROLAM,20220324,72.2,73.5,68.5,70.55,20715
AJANTPHARM,20220324,1964.1,1989.0,1962.6,1979.9,43402
AJMERA,20220324,324.45,332.95,316.0,325.6,61764
AJOONI,20220324,59.95,60.3,57.8,58.4,27453
AJRINFRA,20220324,2.0,2.0,1.95,1.95,1118240
AKASH,20220324,73.15,73.15,73.15,73.15,8931
AKG,20220324,37.8,39.5,37.4,38.1,14824
AKSHARCHEM,20220324,381.5,384.0,365.1,368.25,20387
AKSHOPTFBR,20220324,10.6,10.9,10.45,10.55,387186
