SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME
20MICRONS,20180123,56.05,61.45,56.05,60.55,552255
21STCENMGM,20180123,38.9,38.9,38.2,38.4,5100
3IINFOTECH,20180123,7.65,7.75,7.1,7.3,8916099
3MINDIA,20180123,19196.8,19369.95,18500.1,18721.85,837
5PAISA,20180123,323.65,327.6,315.0,317.15,15769
63MOONS,20180123,106.0,107.8,104.45,104.75,161056
8KMILES,20180123,798.0,818.0,791.1,797.2,355979
A2ZINFRA,20180123,41.0,41.3,39.8,40.2,1086380
AARTIDRUGS,20180123,713.0,719.95,690.0,699.25,25815
AARTIIND,20180123,1128.0,1140.95,1110.0,1121.35,25503
AARVEEDEN,20180123,53.8,53.8,51.7,51.9,48645
ABAN,20180123,232.65,236.0,225.05,227.5,1720032
ABB,20180123,1612.0,1650.0,1580.0,1639.7,227856
ABBOTINDIA,20180123,5530.0,5550.0,5470.0,5504.35,2000
ABCAPITAL,20180123,178.95,179.9,174.9,175.55,2667050
ABFRL,20180123,166.3,169.3,166.3,167.35,255987
ABGSHIP,20180123,12.6,13.1,12.35,12.5,8711
ABMINTLTD,20180123,55.85,55.85,55.85,55.85,165
ACC,20180123,1825.0,1825.0,1782.25,1790.15,248086
ACCELYA,20180123,1458.4,1475.0,1453.0,1458.7,2063
ACE,20180123,167.1,174.75,164.0,171.0,1453010
ADANIENT,20180123,199.4,205.25,196.1,204.4,7561852
ADANIPORTS,20180123,438.05,442.0,433.0,438.4,4659591
ADANIPOWER,20180123,37.3,38.8,37.3,38.25,27045728
ADANITRANS,20180123,225.35,229.0,221.65,222.85,886270
ADFFOODS,20180123,294.55,300.0,286.9,290.4,166111
ADHUNIK,20180123,6.0,6.0,5.8,6.0,109430
ADHUNIKIND,20180123,92.95,92.95,87.35,91.7,6322
ADLABS,20180123,63.1,64.9,63.1,64.45,41143
ADORWELD,20180123,548.05,554.95,538.0,540.3,19170
ADSL,20180123,23.55,24.25,23.25,23.9,23565
ADVANIHOTR,20180123,80.0,85.45,78.6,82.65,277027
ADVENZYMES,20180123,287.9,293.5,287.0,290.45,113790
AEGISCHEM,20180123,286.0,289.0,279.0,285.6,140057
AFL,20180123,63.95,64.0,61.8,62.85,18096
AGARIND,20180123,610.0,610.0,600.0,602.6,3483
AGCNET,20180123,121.0,124.8,120.1,122.0,4282
AGLSL,20180123,122.3,123.9,121.25,121.65,4680
AGRITECH,20180123,118.7,118.7,115.0,115.25,15048
AHLEAST,20180123,422.2,455.7,422.0,426.4,143653
AHLUCONT,20180123,367.5,369.95,346.55,350.85,41854
AHLWEST,20180123,291.0,299.85,286.0,293.75,1738
AIAENG,20180123,1593.3,1613.65,1570.0,1577.85,4796
AICHAMP,20180123,39.95,39.95,36.15,36.2,13804
AIFL,20180123,464.0,478.2,452.4,476.0,276656
AJANTPHARM,20180123,1580.0,1590.0,1554.55,1566.8,117102
AJMERA,20180123,312.9,318.0,311.2,315.2,57327
AKSHARCHEM,20180123,738.8,738.8,725.0,726.3,4635
AKSHOPTFBR,20180123,41.5,42.65,40.0,41.95,950323
AKZOINDIA,20180123,1869.95,1885.0,1862.9,1870.8,3430
ALANKIT,20180123,70.4,72.8,67.0,67.35,376153
ALBERTDAVD,20180123,412.55,414.0,395.0,395.8,4098
ALBK,20180123,70.7,73.1,70.45,72.7,3228047
ALCHEM,20180123,14.0,14.0,13.5,13.65,3852
ALEMBICLTD,20180123,69.0,71.5,65.2,66.55,7559934
ALICON,20180123,670.0,674.9,651.2,657.75,4214
ALKALI,20180123,93.05,93.05,88.5,89.0,32329
ALKEM,20180123,2230.5,2250.05,2200.0,2225.25,9831
ALKYLAMINE,20180123,704.05,784.0,704.05,752.45,44715
ALLCARGO,20180123,203.25,205.9,200.65,201.4,370695
ALLSEC,20180123,430.05,434.2,422.25,429.7,8855
ALMONDZ,20180123,29.0,29.85,28.05,28.65,18988
ALOKTEXT,20180123,3.8,3.85,3.65,3.75,2532871
ALPA,20180123,44.5,44.9,43.65,43.85,37188
ALPHAGEO,20180123,949.9,952.7,924.4,932.65,18646
ALPSINDUS,20180123,5.3,5.4,5.05,5.3,51121
AMARAJABAT,20180123,826.0,832.9,815.0,819.65,360521
AMBIKCO,20180123,1490.0,1500.0,1466.7,1482.05,1793
AMBUJACEM,20180123,268.45,269.4,262.0,262.7,3127752
AMDIND,20180123,43.3,45.45,43.3,44.65,39343
AMJLAND,20180123,27.9,27.95,26.15,26.35,36081
AMRUTANJAN,20180123,608.2,622.0,608.2,610.55,5104
AMTEKAUTO,20180123,27.15,27.15,25.5,26.25,285849
ANANTRAJ,20180123,72.05,73.2,70.0,70.3,1541404
ANDHRABANK,20180123,56.2,58.65,55.8,58.1,2432419
ANDHRACEMT,20180123,13.35,13.55,13.0,13.15,130995
ANDHRSUGAR,20180123,708.0,715.0,691.25,707.05,99638
ANGIND,20180123,6.85,6.85,6.35,6.4,36526
ANIKINDS,20180123,41.35,42.0,40.0,40.1,19285
ANSALAPI,20180123,29.0,29.45,28.0,28.1,167354
ANSALHSG,20180123,29.5,29.5,28.0,28.25,71970
ANTGRAPHIC,20180123,1.25,1.25,1.25,1.25,240
APARINDS,20180123,836.0,847.3,822.2,835.05,22556
APCL,20180123,249.4,249.4,240.4,242.95,4444
APCOTEXIND,20180123,497.4,500.5,492.2,492.85,4420
APEX,20180123,735.1,747.8,718.8,723.15,127394
APLAPOLLO,20180123,2514.55,2530.0,2395.75,2462.35,24050
APLLTD,20180123,551.0,555.95,545.15,547.9,466217
APOLLO,20180123,419.7,419.7,419.7,419.7,24598
