SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME
20MICRONS,20170310,36.85,36.85,35.55,35.75,53423
3IINFOTECH,20170310,5.1,5.1,4.95,5.0,2074844
3MINDIA,20170310,10950.0,11195.0,10725.05,10859.7,1941
63MOONS,20170310,77.5,79.3,77.5,77.85,45646
8KMILES,20170310,639.0,647.0,623.0,626.6,76001
A2ZINFRA,20170310,41.8,41.85,40.25,40.75,778412
AARTIDRUGS,20170310,590.0,590.0,576.05,579.9,7734
AARTIIND,20170310,775.0,781.0,768.0,771.1,42915
AARVEEDEN,20170310,74.45,74.45,72.6,73.2,1883
ABAN,20170310,218.5,221.5,217.6,218.65,583239
ABB,20170310,1212.6,1212.6,1190.0,1193.9,10908
ABBOTINDIA,20170310,4454.0,4488.0,4450.0,4465.65,637
ABFRL,20170310,146.25,147.75,144.7,145.35,302621
ABGSHIP,20170310,20.9,22.0,20.9,21.55,47601
ABIRLANUVO,20170310,1468.9,1477.75,1452.25,1457.1,173418
ABMINTLTD,20170310,203.45,203.45,184.55,203.45,743
ACC,20170310,1407.0,1415.0,1395.95,1400.0,279160
ACCELYA,20170310,1438.5,1460.0,1425.0,1434.35,1585
ACE,20170310,53.8,55.45,52.85,53.3,119790
ADANIENT,20170310,94.0,95.5,92.75,94.05,2176686
ADANIPORTS,20170310,302.45,306.0,297.05,298.8,2684711
ADANIPOWER,20170310,38.1,39.2,38.0,38.3,7767138
ADANITRANS,20170310,63.25,63.35,61.9,62.1,335419
ADFFOODS,20170310,165.65,169.7,163.0,166.85,166779
ADHUNIK,20170310,7.65,7.65,7.3,7.35,53326
ADHUNIKIND,20170310,108.8,108.8,101.1,102.75,40796
ADLABS,20170310,82.75,82.8,79.0,79.55,294318
ADORWELD,20170310,301.05,304.2,298.35,299.8,4048
ADSL,20170310,29.2,29.8,28.5,29.45,19066
ADVANIHOTR,20170310,53.95,62.5,53.95,59.85,230121
ADVENZYMES,20170310,1667.8,1688.0,1660.25,1674.1,82401
AEGISCHEM,20170310,202.3,204.65,199.5,203.35,201067
AFL,20170310,66.9,68.75,66.9,67.3,34690
AGARIND,20170310,498.35,531.85,497.1,525.75,109463
AGCNET,20170310,85.0,85.0,83.5,84.4,3762
AGRITECH,20170310,31.65,33.7,31.55,33.35,54744
AHLEAST,20170310,222.4,225.0,219.0,219.9,370
AHLUCONT,20170310,314.85,316.95,299.3,304.05,16770
AHLWEST,20170310,212.1,215.0,212.1,215.0,365
AIAENG,20170310,1478.95,1489.1,1425.0,1453.3,51431
AIFL,20170310,385.0,389.25,381.0,382.5,45251
AJANTPHARM,20170310,1721.9,1728.0,1702.3,1713.15,60469
AJMERA,20170310,194.5,196.5,187.55,188.6,106899
AKSHOPTFBR,20170310,22.05,22.3,21.8,21.85,578661
AKZOINDIA,20170310,1609.45,1610.0,1589.1,1597.6,4185
ALANKIT,20170310,26.7,27.1,26.15,26.3,1843474
ALBERTDAVD,20170310,329.9,335.0,326.0,328.6,877
ALBK,20170310,68.3,69.2,67.3,68.0,2123668
ALCHEM,20170310,24.0,24.65,23.05,24.3,121072
ALEMBICLTD,20170310,37.25,38.8,35.9,37.2,1894655
ALICON,20170310,400.0,404.8,390.1,392.75,7149
ALKALI,20170310,77.0,77.75,76.25,76.3,1963
ALKEM,20170310,1994.95,2010.0,1966.0,1977.75,14067
ALKYLAMINE,20170310,371.05,372.95,365.55,371.3,6950
ALLCARGO,20170310,166.4,167.55,162.5,163.35,116195
ALLSEC,20170310,400.0,403.0,391.0,392.3,11674
ALMONDZ,20170310,14.7,15.85,14.6,15.2,4702
ALOKTEXT,20170310,3.2,3.2,3.1,3.15,2805143
ALPA,20170310,40.95,41.1,39.45,41.1,8924
ALPHAGEO,20170310,935.15,947.8,931.65,937.95,9245
ALPSINDUS,20170310,7.1,7.3,7.05,7.05,34482
AMARAJABAT,20170310,825.0,838.0,823.0,828.55,722438
AMBIKCO,20170310,1255.3,1276.85,1241.5,1248.95,3021
AMBUJACEM,20170310,227.5,230.0,227.0,229.05,1069153
AMDIND,20170310,27.5,28.05,27.4,27.5,6586
AMRUTANJAN,20170310,569.0,569.0,550.0,551.05,9114
AMTEKAUTO,20170310,35.8,35.95,34.8,35.0,976179
AMTL,20170310,25.75,25.75,24.3,24.75,6676
ANANDAMRUB,20170310,16.0,16.0,16.0,16.0,150
ANANTRAJ,20170310,48.9,49.05,47.3,47.55,388593
ANDHRABANK,20170310,53.95,54.2,53.2,53.5,1412328
ANDHRACEMT,20170310,10.45,10.45,9.75,9.95,106339
ANDHRSUGAR,20170310,264.95,268.9,261.5,262.7,33862
ANGIND,20170310,10.45,10.45,9.8,10.05,94545
ANIKINDS,20170310,25.85,26.45,25.85,26.45,112
ANKITMETAL,20170310,1.75,1.85,1.75,1.8,89265
ANSALAPI,20170310,15.25,15.25,14.85,15.0,195746
ANSALHSG,20170310,23.05,24.05,22.6,22.85,27341
ANTGRAPHIC,20170310,1.25,1.25,1.2,1.2,11000
APARINDS,20170310,741.8,750.1,735.8,740.1,28979
APCOTEXIND,20170310,311.05,311.6,308.0,310.05,6377
APLAPOLLO,20170310,1112.05,1115.0,1081.2,1103.1,9091
APLLTD,20170310,605.0,648.0,604.05,624.4,697110
APOLLOHOSP,20170310,1229.8,1235.7,1202.6,1205.55,277582
APOLLOTYRE,20170310,181.9,181.9,178.45,179.1,1590706
APOLSINHOT,20170310,510.0,510.0,505.0,505.0,140
APTECHT,20170310,228.0,232.45,223.4,224.7,392848
ARCHIDPLY,20170310,70.0,70.6,69.2,69.45,26742
ARCHIES,20170310,23.75,23.75,23.1,23.15,33706
ARCOTECH,20170310,686.15,708.6,665.3,680.6,29241
ARIES,20170310,149.7,149.7,145.65,146.9,23668
ARIHANT,20170310,50.25,50.5,50.25,50.5,168
ARMANFIN,20170310,218.0,224.5,214.9,217.85,8299
AROGRANITE,20170310,72.7,73.4,70.7,71.4,14621
ARROWGREEN,20170310,450.5,453.85,445.05,449.7,3396
ARROWTEX,20170310,45.0,45.0,44.0,44.3,6820
ARSHIYA,20170310,52.8,52.8,49.85,50.35,147161
ARSSINFRA,20170310,63.4,64.0,62.5,63.4,97709
ARVIND,20170310,398.0,398.0,389.3,391.45,938017
ARVSMART,20170310,71.0,72.1,70.75,71.3,37488
ASAHIINDIA,20170310,209.5,219.0,209.2,213.4,51599
ASAHISONG,20170310,254.7,256.55,252.3,254.1,9256
ASAL,20170310,66.65,68.4,66.5,66.7,5393
ASHAPURMIN,20170310,65.95,66.5,64.15,64.65,43121
ASHIANA,20170310,180.15,181.1,175.65,176.95,47345
ASHIMASYN,20170310,14.9,15.0,14.3,14.55,109909
ASHOKA,20170310,183.0,184.0,179.0,180.45,19544
ASHOKLEY,20170310,91.05,91.1,90.0,90.55,4731348
ASIANHOTNR,20170310,104.75,104.75,103.15,103.15,141
ASIANPAINT,20170310,1024.1,1037.2,1024.1,1030.25,579487
ASIANTILES,20170310,284.95,286.4,281.0,285.6,209941
ASPINWALL,20170310,222.0,222.0,217.05,217.75,4393
ASSAMCO,20170310,8.4,8.55,8.15,8.15,1650764
ASTEC,20170310,595.0,599.0,589.05,590.05,24269
ASTRAL,20170310,492.0,502.0,475.5,495.6,109791
ASTRAMICRO,20170310,113.7,114.3,112.25,113.35,98222
ASTRAZEN,20170310,970.3,973.0,955.0,959.95,25690
ATFL,20170310,572.25,581.0,565.0,573.85,2726
ATLANTA,20170310,82.85,82.85,80.2,80.75,188530
ATLASCYCLE,20170310,395.0,414.8,392.0,406.9,8524
ATNINTER,20170310,0.25,0.3,0.25,0.3,6501
ATUL,20170310,2180.05,2215.0,2143.05,2155.95,6698
ATULAUTO,20170310,408.5,414.2,404.1,405.55,21588
AURIONPRO,20170310,123.5,123.75,118.05,120.5,15305
AUROPHARMA,20170310,663.0,666.4,649.9,652.5,2862941
AUSOMENT,20170310,26.85,27.6,25.1,25.1,462
AUSTRAL,20170310,0.3,0.35,0.3,0.35,3115
AUTOAXLES,20170310,632.9,632.9,621.15,623.5,3002
AUTOIND,20170310,53.3,54.7,53.1,53.25,35907
AUTOLITIND,20170310,59.3,59.95,56.0,56.55,51643
AVANTIFEED,20170310,706.95,725.0,700.3,707.15,35659
AVTNPL,20170310,37.7,37.75,36.6,36.8,48877
AXISBANK,20170310,519.2,520.0,513.0,515.9,5494130
AXISCADES,20170310,161.5,163.0,157.6,158.85,37783
AXISGOLD,20170310,2598.55,2615.0,2590.0,2594.9,134
AYMSYNTEX,20170310,81.0,81.0,77.5,78.1,18102
BAFNAPHARM,20170310,30.1,30.9,29.8,30.1,17958
BAGFILMS,20170310,4.35,4.45,4.35,4.35,29958
BAJAJ-AUTO,20170310,2876.8,2889.9,2853.25,2864.55,114745
BAJAJCORP,20170310,363.05,367.0,360.6,366.35,24284
BAJAJELEC,20170310,283.0,306.85,283.0,296.25,2462768
BAJAJFINSV,20170310,3802.5,3844.0,3792.35,3826.05,60087
BAJAJHIND,20170310,14.45,14.65,14.1,14.15,4264101
BAJAJHLDNG,20170310,2092.0,2119.2,2058.1,2070.0,31273
BAJFINANCE,20170310,1092.5,1100.0,1085.1,1094.5,748405
BALAJITELE,20170310,92.9,93.2,90.8,92.15,179177
BALAMINES,20170310,331.3,336.5,331.3,334.7,9161
BALKRISHNA,20170310,71.8,72.4,70.1,70.45,8483
BALKRISIND,20170310,1306.5,1378.0,1306.5,1322.35,156200
BALLARPUR,20170310,19.0,19.35,18.25,18.4,2104430
BALMLAWRIE,20170310,218.9,222.8,215.0,216.0,61445
BALPHARMA,20170310,92.0,92.75,90.2,90.7,29705
BALRAMCHIN,20170310,155.8,156.4,149.8,150.45,1220765
BANARBEADS,20170310,87.9,89.0,82.5,87.2,24396
BANARISUG,20170310,2045.05,2074.8,2002.5,2016.8,1220
BANCOINDIA,20170310,196.55,202.5,196.55,201.0,61040
BANG,20170310,43.25,44.8,40.8,41.55,7914
BANKBARODA,20170310,163.0,163.0,158.3,159.0,5501220
BANKBEES,20170310,2100.0,2113.3,2089.5,2093.86,6570
BANKINDIA,20170310,125.2,125.8,122.85,123.45,1659841
BANSWRAS,20170310,148.2,151.0,146.2,147.3,11098
BARTRONICS,20170310,16.1,16.1,15.8,16.0,34273
BASF,20170310,1209.1,1211.0,1192.2,1202.3,3396
BASML,20170310,310.05,324.65,310.05,320.9,188
BATAINDIA,20170310,500.9,512.0,496.65,508.75,1073215
BAYERCROP,20170310,3840.45,3848.7,3750.0,3771.6,25373
BBL,20170310,824.2,842.0,824.2,834.8,7480
BBTC,20170310,789.45,797.95,762.0,767.25,214944
BEARDSELL,20170310,400.0,400.0,385.0,394.25,463
BEDMUTHA,20170310,25.95,26.5,25.75,25.9,10598
BEL,20170310,1560.0,1572.9,1550.0,1567.65,722049
BEML,20170310,1295.0,1295.0,1271.0,1278.05,199867
BEPL,20170310,22.65,22.65,22.4,22.5,918392
BERGEPAINT,20170310,227.0,227.5,222.7,223.45,428487
BFINVEST,20170310,163.5,164.4,160.5,160.9,19891
BFUTILITIE,20170310,398.0,401.45,390.0,391.3,282404
BGLOBAL,20170310,9.7,10.25,9.7,9.7,21598
BGRENERGY,20170310,130.6,133.15,130.6,130.85,98483
BHAGERIA,20170310,305.5,308.05,297.95,299.45,30989
BHANDARI,20170310,2.6,2.65,2.55,2.55,129800
BHARATFIN,20170310,840.0,859.7,822.25,828.65,6826605
BHARATFORG,20170310,1039.9,1044.0,1028.0,1032.7,188746
BHARATGEAR,20170310,108.0,109.7,106.1,106.9,5093
BHARATIDIL,20170310,13.15,13.4,12.5,12.5,56552
BHARATRAS,20170310,2580.0,2609.25,2483.0,2518.65,982
BHARATWIRE,20170310,95.6,95.6,91.15,92.0,31704
BHARTIARTL,20170310,360.85,366.5,359.95,364.9,2090743
BHEL,20170310,158.95,160.4,157.05,158.1,3360786
BHUSANSTL,20170310,54.5,55.0,53.3,53.8,215961
BIGBLOC,20170310,64.0,64.0,62.7,63.0,35731
BIL,20170310,531.8,547.6,515.2,523.35,23203
BILPOWER,20170310,1.3,1.3,1.2,1.2,1600
BINANIIND,20170310,73.6,74.35,72.2,72.6,16880
BINDALAGRO,20170310,25.45,25.45,24.9,25.1,48219
BIOCON,20170310,1072.05,1077.3,1056.6,1061.15,250623
BIRLACABLE,20170310,37.9,39.2,37.0,37.55,29067
BIRLACORPN,20170310,673.3,695.85,673.3,693.7,31724
BIRLAMONEY,20170310,28.6,29.1,28.0,28.4,16583
BLBLIMITED,20170310,6.0,6.0,5.8,5.8,1200
BLISSGVS,20170310,146.0,146.5,144.15,146.0,39575
BLKASHYAP,20170310,23.05,23.05,22.4,22.65,77170
BLS,20170310,1695.2,1717.0,1640.0,1663.5,4231
BLUEBLENDS,20170310,45.15,46.65,45.0,45.7,4227
BLUECHIP,20170310,0.3,0.35,0.3,0.35,5251
BLUEDART,20170310,4500.0,4777.0,4475.0,4687.5,36088
BLUESTARCO,20170310,559.9,560.0,542.6,549.05,20353
BODALCHEM,20170310,134.5,137.8,134.0,135.4,491960
BOMDYEING,20170310,59.75,60.65,58.2,58.85,717735
BOSCHLTD,20170310,22000.0,23080.0,22000.0,22761.15,32936
BPCL,20170310,635.9,636.95,620.1,623.35,2435473
BPL,20170310,61.45,62.25,60.5,60.9,239948
BRFL,20170310,156.05,159.35,153.55,155.75,1045863
BRIGADE,20170310,198.95,217.5,196.45,210.85,529458
BRITANNIA,20170310,3085.1,3131.0,3077.0,3122.5,137490
BROOKS,20170310,143.7,145.95,142.0,142.35,21062
BSE,20170310,950.0,954.9,932.6,936.6,193951
BSELINFRA,20170310,4.35,4.5,4.35,4.45,43015
BSL,20170310,70.4,73.0,70.4,71.9,4173
BSLGOLDETF,20170310,2711.05,2845.0,2711.0,2845.0,48
BSLIMITED,20170310,2.1,2.2,2.05,2.1,2702561
BSLNIFTY,20170310,94.15,95.5,92.2,95.0,110
BURNPUR,20170310,11.45,11.6,11.3,11.45,276536
BUTTERFLY,20170310,174.35,175.0,171.1,171.9,7197
BVCL,20170310,25.75,28.3,24.5,25.55,178974
BYKE,20170310,171.6,175.0,168.15,169.9,105258
CADILAHC,20170310,440.6,444.0,434.5,437.9,538525
CAIRN,20170310,282.65,284.15,276.4,277.95,1491325
CAMLINFINE,20170310,92.25,92.8,89.4,89.7,219727
CANBK,20170310,288.25,288.9,283.0,284.0,1401645
CANDC,20170310,23.2,24.0,22.8,23.8,14185
CANFINHOME,20170310,1950.0,1990.0,1933.05,1976.2,102318
CANTABIL,20170310,71.85,73.95,70.6,72.85,20713
CAPF,20170310,688.9,692.3,676.3,682.85,189853
CAPLIPOINT,20170310,384.0,391.0,382.1,387.4,29879
CAPTRUST,20170310,473.95,474.0,446.0,454.95,1550
CARBORUNIV,20170310,256.45,258.0,255.0,255.5,33638
CAREERP,20170310,110.2,120.0,110.2,111.4,85082
CARERATING,20170310,1469.0,1479.5,1460.0,1476.05,69248
CASTEXTECH,20170310,8.35,8.5,8.2,8.35,999177
CASTROLIND,20170310,411.15,412.4,405.55,406.55,195850
CCCL,20170310,3.75,3.8,3.65,3.65,54990
CCHHL,20170310,12.7,12.75,12.4,12.5,10842
