SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME
20MICRONS,20210702,59.5,60.45,58.15,58.95,178511
21STCENMGM,20210702,23.5,23.5,23.5,23.5,2149
3IINFOTECH,20210702,10.0,10.1,9.75,9.95,7778807
3MINDIA,20210702,24490.0,24490.0,24011.0,24198.25,1962
3PLAND,20210702,12.5,13.15,12.3,12.85,6864
5PAISA,20210702,421.2,428.7,417.55,423.5,30228
63MOONS,20210702,92.4,93.0,90.0,91.4,27123
A2ZINFRA,20210702,5.45,5.8,5.35,5.8,509969
AAKASH,20210702,200.8,209.9,200.8,205.2,168797
AARON,20210702,80.15,84.15,80.15,84.0,18563
AARTIDRUGS,20210702,707.8,734.55,702.95,729.25,901060
AARTIIND,20210702,857.35,883.0,848.5,874.3,1467675
AARTISURF,20210702,1400.0,1435.15,1393.6,1410.0,14167
AARVEEDEN,20210702,19.55,20.85,19.55,19.85,9873
AARVI,20210702,68.0,69.0,67.1,67.5,27798
AAVAS,20210702,2683.0,2730.0,2661.05,2678.35,26227
ABAN,20210702,45.7,46.0,44.2,44.85,41581
ABB,20210702,1810.0,1830.0,1766.65,1787.15,92544
ABBOTINDIA,20210702,16740.0,16799.9,16661.0,16764.65,5269
ABCAPITAL,20210702,115.0,119.45,114.6,117.5,2538227
ABFRL,20210702,214.85,216.95,214.35,214.85,1435061
ABMINTLTD,20210702,70.0,70.0,68.4,68.7,1115
ABSLBANETF,20210702,345.61,346.84,345.42,346.53,447
ABSLNN50ET,20210702,393.0,393.0,390.0,390.05,86
ACC,20210702,2003.9,2004.35,1978.0,1987.25,293738
ACCELYA,20210702,1194.95,1238.0,1189.0,1226.0,203007
ACCURACY,20210702,78.65,82.7,74.15,80.35,31731
ACE,20210702,225.25,236.0,223.1,232.9,892894
ACRYSIL,20210702,626.0,640.0,621.2,625.45,83553
ADANIENT,20210702,1490.25,1507.7,1411.55,1422.05,6653653
ADANIGREEN,20210702,1015.3,1063.0,1015.3,1015.3,151999
ADANIPORTS,20210702,705.0,724.3,705.0,710.4,17676086
ADANIPOWER,20210702,102.45,111.95,102.45,109.4,6817595
ADANITRANS,20210702,956.2,956.2,956.2,956.2,75189
ADFFOODS,20210702,905.05,927.0,895.05,910.05,28279
ADL,20210702,42.85,43.65,40.05,40.2,5659
ADORWELD,20210702,714.5,724.0,674.2,682.05,80792
ADROITINFO,20210702,13.4,13.4,13.15,13.4,81928
ADSL,20210702,69.5,69.55,67.65,69.55,609128
ADVANIHOTR,20210702,67.25,68.35,66.8,67.25,11730
ADVENZYMES,20210702,412.0,416.5,405.0,407.6,562258
AEGISCHEM,20210702,357.75,361.75,353.0,354.05,244112
AFFLE,20210702,4260.0,4418.65,4259.6,4418.65,113781
AGARIND,20210702,341.9,346.0,340.65,342.6,20368
AGCNET,20210702,1114.8,1170.5,1092.0,1170.5,2995
AGRITECH,20210702,45.2,46.9,45.2,45.55,15088
AGROPHOS,20210702,13.65,13.85,13.15,13.3,178151
AHLADA,20210702,224.0,225.2,211.0,213.6,111868
AHLEAST,20210702,178.5,181.0,176.55,178.55,2157
AHLUCONT,20210702,394.85,412.8,390.7,404.15,54906
AHLWEST,20210702,221.6,231.45,221.6,228.8,10910
AIAENG,20210702,2109.5,2163.8,2104.1,2151.05,14215
AIRAN,20210702,26.75,28.05,26.75,28.05,175041
AJANTPHARM,20210702,2118.0,2135.2,2082.0,2123.2,100264
AJMERA,20210702,271.15,283.0,270.0,278.0,217756
AJOONI,20210702,63.9,64.35,61.55,62.4,121839
AKASH,20210702,244.8,247.0,226.7,239.85,67310
AKG,20210702,27.0,28.2,27.0,27.55,21288
AKSHARCHEM,20210702,349.3,360.85,343.3,345.75,53766
AKSHOPTFBR,20210702,10.0,10.0,9.8,10.0,893314
AKZOINDIA,20210702,2336.55,2349.95,2311.0,2348.55,9619
ALANKIT,20210702,25.35,26.0,24.4,24.7,857251
ALBERTDAVD,20210702,485.0,488.45,481.2,482.8,17168
ALEMBICLTD,20210702,126.65,127.4,125.6,125.85,297468
